bin_range,mean_transmittance
447.75-451.0,0.9713658923788845
451.0-454.25,0.9703988250074157
457.5-460.75,0.9642963835328999
460.75-464.0,0.9512583938820647
464.0-467.25,0.9537884741674328
467.25-470.5,0.9448056549539885
473.75-477.0,0.9154694666516674
477.0-480.25,0.9374624432873644
480.25-483.5,0.9509426061109733
483.5-486.75,0.9591872604507379
490.0-493.25,0.9700766832171412
493.25-496.5,0.9781624027567297
496.5-499.75,0.9791372070529902
499.75-503.0,0.9874623640548866
503.0-506.25,0.9851700036118091
509.5-512.75,0.989103029374673
512.75-516.0,0.9835358621614069
516.0-519.25,0.9886105437588404
519.25-522.5,0.9843525937782137
525.75-529.0,0.9854971575720874
529.0-532.25,0.9850064673607204
532.25-535.5,0.9848429582563221
535.5-538.75,0.9882823562525865
542.0-545.25,0.991075426423764
545.25-548.5,0.992557304951109
548.5-551.75,0.9927220948342429
551.75-555.0,0.9894314894089787
555.0-558.25,0.992557304951109
561.5-564.75,0.9905819587290721
564.75-568.0,0.9884464363849655
568.0-571.25,0.9858244201732232
571.25-574.5,0.9765398850981433
577.75-581.0,0.9601431547478103
581.0-584.25,0.9525225939786088
584.25-587.5,0.950469121002665
587.5-590.75,0.9520483221764219
594.0-597.25,0.9585505263468838
597.25-600.5,0.9626968660029036
600.5-603.75,0.9673427921575818
603.75-607.0,0.9726568148693695
607.0-610.25,0.9902531167752536
613.5-616.75,0.9892672457597671
616.75-620.0,0.9825566786751138
620.0-623.25,0.9771885689510288
623.25-626.5,0.9723339234977082
629.75-633.0,0.9694327204238197
633.0-636.25,0.9778376837036117
636.25-639.5,0.989103029374673
639.5-642.75,0.9938763903319209
646.0-649.25,0.9955277125342944
649.25-652.5,0.997181778402824
652.5-655.75,0.9998340019991585
655.75-659.0,0.9973473360667556
659.0-662.25,0.9973473360667556
665.5-668.75,0.9940413992169447
668.75-672.0,0.9927220948342429
672.0-675.25,0.9907464206542417
675.25-678.5,0.9937114088380422
681.75-685.0,0.9922278072446743
685.0-688.25,0.9914045414490907
688.25-691.5,0.991075426423764
691.5-694.75,0.9895957603268343
698.0-701.25,0.988774678378734
701.25-704.5,0.9894314894089787
704.5-707.75,0.9909109098842945
707.75-711.0,0.9899243839865871
711.0-714.25,0.9864792714423881
717.5-720.75,0.9815784700391916
720.75-724.0,0.9655779108119229
724.0-727.25,0.9307941905034786
727.25-730.5,0.8696922139388452
733.75-737.0,0.807893418188234
737.0-740.25,0.7473776528871815
740.25-743.5,0.6919689958058685
743.5-746.75,0.6608691666407196
750.0-753.25,0.5975193912862113
753.25-756.5,0.6689268740078858
756.5-759.75,0.7147361459703032
759.75-763.0,0.7440351651780256
763.0-766.25,0.778143908431194
769.5-772.75,0.7803430881754972
772.75-776.0,0.7899886287205762
776.0-779.25,0.8088328026746587
779.25-782.5,0.821553722881345
785.75-789.0,0.8491481543720978
789.0-792.25,0.903391549979578
792.25-795.5,0.9246337552210183
795.5-798.75,0.9429253420775804
802.0-805.25,0.9634962928444806
805.25-808.5,0.9721725180102571
808.5-811.75,0.9797876162228225
811.75-815.0,0.981415529975496
815.0-818.25,0.9838624734581402
821.5-824.75,0.9850064673607204
824.75-828.0,0.9866430522166002
828.0-831.25,0.989103029374673
831.25-834.5,0.9912399702771849
837.75-841.0,0.9902531167752536
841.0-844.25,0.9872984472765473
844.25-847.5,0.9869706953449243
847.5-850.75,0.9812526169595251
854.0-857.25,0.9752438089474839
857.25-860.5,0.967985366679169
860.5-863.75,0.9577552030794665
863.75-867.0,0.9601431547478103
867.0-870.25,0.9683068139877956
873.5-876.75,0.966540173819764
876.75-880.0,0.9663797300831765
880.0-883.25,0.9639762675606406
883.25-886.5,0.9539468274336959
889.75-893.0,0.946218349866264
893.0-896.25,0.9326503123230846
896.25-899.5,0.9188191115598876
899.5-902.75,0.8920651556100424
906.0-909.25,0.8694035035657839
909.25-912.5,0.8749054260958795
912.5-915.75,0.8989035260504976
915.75-919.0,0.924173369587939
919.0-922.25,0.9569605397032938
925.5-928.75,0.9781624027567297
928.75-932.0,0.9846794762941086
932.0-935.25,0.987954277694229
