bin_range,mean_transmittance
447.75-451.0,0.8725736218441383
451.0-454.25,0.8509365927793527
457.5-460.75,0.8331916136890003
460.75-464.0,0.8433398065894964
464.0-467.25,0.846370348485827
467.25-470.5,0.8373112377206029
473.75-477.0,0.8358108411525663
477.0-480.25,0.8452326211705913
480.25-483.5,0.8589868789087753
483.5-486.75,0.8505551333179985
490.0-493.25,0.8505551333179985
493.25-496.5,0.8456116935760838
496.5-499.75,0.8478897008364199
499.75-503.0,0.8391905216193213
503.0-506.25,0.8425838681448242
509.5-512.75,0.8509365927793527
512.75-516.0,0.8690594972805509
516.0-519.25,0.881618855460323
519.25-522.5,0.9020115529197558
525.75-529.0,0.9183353453883263
529.0-532.25,0.9311891992365428
532.25-535.5,0.9446464351599095
535.5-538.75,0.9450700929643374
542.0-545.25,0.9505949657776466
545.25-548.5,0.9493171352626415
548.5-551.75,0.9497428877963527
551.75-555.0,0.9442229672736017
555.0-558.25,0.9548668362539933
561.5-564.75,0.954438786746999
564.75-568.0,0.9608797257329621
568.0-571.25,0.9695353088959112
571.25-574.5,0.9664970215431709
577.75-581.0,0.9752032051816362
581.0-584.25,0.9769538304070458
584.25-587.5,0.9831058038396328
587.5-590.75,0.9756405671759238
594.0-597.25,0.9686662534953059
597.25-600.5,0.9626046383229894
600.5-603.75,0.9574391677415603
603.75-607.0,0.9531557892030214
607.0-610.25,0.9471912337407385
613.5-616.75,0.9404202885772338
616.75-620.0,0.9303545158628104
620.0-623.25,0.9237039270639166
623.25-626.5,0.9064714495499421
629.75-633.0,0.8891616846288869
633.0-636.25,0.8582169150102819
636.25-639.5,0.8198503945372829
639.5-642.75,0.7696223655612516
646.0-649.25,0.7224715503203444
649.25-652.5,0.673361280428128
652.5-655.75,0.6602068407941698
655.75-659.0,0.6709502205707562
659.0-662.25,0.7244178283218418
665.5-668.75,0.7566202143480539
668.75-672.0,0.7913178092726946
672.0-675.25,0.8070845988758322
675.25-678.5,0.815085411217542
681.75-685.0,0.815085411217542
685.0-688.25,0.8096217561300171
688.25-691.5,0.8125311321999726
691.5-694.75,0.8132601083215731
698.0-701.25,0.8205859372595463
701.25-704.5,0.8183812864412111
704.5-707.75,0.8194828704555299
707.75-711.0,0.818748316481334
711.0-714.25,0.8191155111281657
717.5-720.75,0.8220590030101
720.75-724.0,0.8287205914251746
724.0-727.25,0.834687308379885
727.25-730.5,0.8448537186963921
733.75-737.0,0.8570632630323365
737.0-740.25,0.8655595251863244
740.25-743.5,0.8788560768447274
743.5-746.75,0.8847869531324493
750.0-753.25,0.8951621073263653
753.25-756.5,0.9028208079223375
756.5-759.75,0.90972885502781
759.75-763.0,0.9113619446992067
763.0-766.25,0.9072847058246221
769.5-772.75,0.90972885502781
772.75-776.0,0.9171008796383576
776.0-779.25,0.9299374547850509
779.25-782.5,0.9341164926518204
785.75-789.0,0.9316068217003258
789.0-792.25,0.9166897599256518
792.25-795.5,0.8975735992619178
795.5-798.75,0.8749242622868368
802.0-805.25,0.8358108411525663
805.25-808.5,0.7782980278860794
808.5-811.75,0.7020338127679058
811.75-815.0,0.6301270161296566
815.0-818.25,0.5815290706539256
821.5-824.75,0.5833571698422682
824.75-828.0,0.6292799723744004
828.0-831.25,0.6929642979424908
831.25-834.5,0.7586584859976724
837.75-841.0,0.8125311321999726
841.0-844.25,0.8539944337295708
844.25-847.5,0.8867727928058119
847.5-850.75,0.9072847058246221
854.0-857.25,0.922875953209835
857.25-860.5,0.9353738623068513
860.5-863.75,0.9463422067382818
863.75-867.0,0.9608797257329621
867.0-870.25,0.9730193343748735
873.5-876.75,0.9839878139283607
876.75-880.0,0.9892965168481723
880.0-883.25,0.993742307889385
883.25-886.5,0.998655757119479
889.75-893.0,0.998208077832419
893.0-896.25,1.0
896.25-899.5,0.9995517181132046
899.5-902.75,0.9991036371830595
906.0-909.25,0.9968662437305142
909.25-912.5,0.9946338606985853
912.5-915.75,0.9892965168481723
915.75-919.0,0.9782688613591631
919.0-922.25,0.9634682554424707
925.5-928.75,0.9467666250673215
928.75-932.0,0.9299374547850509
932.0-935.25,0.9138170776433114
935.25-938.5,0.9080986917259977
941.75-945.0,0.910136852893467
945.0-948.25,0.922875953209835
948.25-951.5,0.9349545511469978
951.5-954.75,0.9463422067382818
958.0-961.25,0.9505949657776466
961.25-964.5,0.9518745163193583
964.5-967.75,0.9501688312728098
967.75-971.0,0.9480410224622081
971.0-974.25,0.9459179786682913
977.5-980.75,0.9412640026301156
980.75-984.0,0.9374732406019534
984.0-987.25,0.9320246314606563
987.25-990.5,0.9216353837801288
993.75-997.0,0.9048471232652143
997.0-1000.25,0.881223641696363
1000.25-1003.5,0.846370348485827
1003.5-1006.75,0.7966579419232157
1010.0-1013.25,0.7398461871831775
1013.25-1016.5,0.6861622165519519
1016.5-1019.75,0.6458597944052427
1019.75-1023.0,0.6233824622290013
1023.0-1026.25,0.616157302546219
1029.5-1032.75,0.6150531966170693
1032.75-1036.0,0.6200373050986215
1036.0-1039.25,0.6214289335297036
1039.25-1042.5,0.6245015203469991
1045.75-1049.0,0.6289978775610618
1049.0-1052.25,0.6386604166801549
1052.25-1055.5,0.651969951364729
1055.5-1058.75,0.6736632714705276
