bin_range,mean_transmittance
548.5-551.75,0.9694155906621502
555.0-558.25,0.9598867569838303
558.25-561.5,0.9513492935101299
561.5-564.75,0.9489645740229968
564.75-568.0,0.9543770779852064
568.0-571.25,0.963385266142351
574.5-577.75,0.9724113068026026
577.75-581.0,0.9794223269743909
581.0-584.25,0.9840337637150266
584.25-587.5,0.9865293264387849
587.5-590.75,0.9876202817179092
594.0-597.25,0.9878704621711738
597.25-600.5,0.9877567359279082
600.5-603.75,0.9873474298469372
603.75-607.0,0.9863476177576177
607.0-610.25,0.9851219592715001
610.25-613.5,0.9838978238171184
616.75-620.0,0.9834674713538749
620.0-623.25,0.9842830356443213
623.25-626.5,0.9847590937757871
626.5-629.75,0.983807207651725
629.75-633.0,0.9820418595709289
636.25-639.5,0.9791517399691085
639.5-642.75,0.9748325006190871
642.75-646.0,0.9693932693002555
646.0-649.25,0.9622102966640909
649.25-652.5,0.9529936349661142
655.75-659.0,0.9438217907104525
659.0-662.25,0.9376915448518913
662.25-665.5,0.9342433173051561
665.5-668.75,0.9293300920657893
668.75-672.0,0.9193481362828304
672.0-675.25,0.9029423024386247
678.5-681.75,0.8798527585670829
681.75-685.0,0.8530215442117036
685.0-688.25,0.8267610344885072
688.25-691.5,0.8106250122665652
691.5-694.75,0.8161312359284811
698.0-701.25,0.8398273231965281
701.25-704.5,0.8704423243827525
704.5-707.75,0.8987108812601279
707.75-711.0,0.920852348410289
711.0-714.25,0.9369577331773996
717.5-720.75,0.9473271845042494
720.75-724.0,0.9525329330827519
724.0-727.25,0.9543990535825376
727.25-730.5,0.9543551028938768
730.5-733.75,0.9510645629761236
733.75-737.0,0.9432786395604853
740.25-743.5,0.9295655066557584
743.5-746.75,0.9084687650523052
746.75-750.0,0.8814952978711647
750.0-753.25,0.8551651617450768
753.25-756.5,0.8416470392526942
759.75-763.0,0.8504915439933717
763.0-766.25,0.8760724031675906
766.25-769.5,0.9051071590275197
769.5-772.75,0.9290947370951033
772.75-776.0,0.9462371613657931
779.25-782.5,0.95794373177514
782.5-785.75,0.9660508789898136
785.75-789.0,0.9721426567461726
789.0-792.25,0.9771472182263614
792.25-795.5,0.9819514143382879
795.5-798.75,0.9862567759682546
802.0-805.25,0.9893045352273986
805.25-808.5,0.9913796501832269
808.5-811.75,0.9928416782232782
811.75-815.0,0.9937107773212418
815.0-818.25,0.9942829679007802
821.5-824.75,0.994168503433006
824.75-828.0,0.9946264403839783
828.0-831.25,0.9953366595561001
831.25-834.5,0.9952908236644222
834.5-837.75,0.9953595782935091
841.0-844.25,0.995405417351527
844.25-847.5,0.9953137413464086
847.5-850.75,0.9951762431696443
850.75-854.0,0.9949471217509924
854.0-857.25,0.9946722456789704
857.25-860.5,0.9942371805322794
863.75-867.0,0.9935277458897684
867.0-870.25,0.9927045215510648
870.25-873.5,0.9918363025240455
873.5-876.75,0.9910829389131127
876.75-880.0,0.9901705380333203
883.25-886.5,0.9893956577386908
886.5-889.75,0.988757976371042
889.75-893.0,0.987938704202143
893.0-896.25,0.9871655704794329
896.25-899.5,0.9859388955862421
902.75-906.0,0.9839431350296824
906.0-909.25,0.9821323131342673
909.25-912.5,0.9814541144356963
912.5-915.75,0.9820644721807308
915.75-919.0,0.9836486494435998
