bin_range,mean_transmittance
447.75-451.0,0.9780582753610162
451.0-454.25,0.9598940595815858
457.5-460.75,0.9651914097229803
460.75-464.0,0.9538052311613364
464.0-467.25,0.9602242905294075
467.25-470.5,0.9482441498005404
473.75-477.0,0.9541333673784317
477.0-480.25,0.9516750947206617
480.25-483.5,0.9557757425641779
483.5-486.75,0.9648594705321003
490.0-493.25,0.9705179942556499
493.25-496.5,0.9620425925492395
496.5-499.75,0.9708518801401614
499.75-503.0,0.9768815065388614
503.0-506.25,0.9743646245394363
509.5-512.75,0.9815970939998006
512.75-516.0,0.9861658244673396
516.0-519.25,0.9858266719608525
519.25-522.5,0.9849793008982001
525.75-529.0,0.987183982216218
529.0-532.25,0.9770495296460807
532.25-535.5,0.9767135123265589
535.5-538.75,0.9827795433024078
542.0-545.25,0.9824415553726241
545.25-548.5,0.9805846984326752
548.5-551.75,0.9934858913382877
551.75-555.0,0.9982816312314639
555.0-558.25,0.9939986166747764
561.5-564.75,0.9951960050719748
564.75-568.0,0.9931442213859865
568.0-571.25,0.987693455218171
571.25-574.5,0.987693455218171
577.75-581.0,0.9893935982772397
581.0-584.25,0.9858266719608525
584.25-587.5,0.9846405564492957
587.5-590.75,0.9824415553726241
594.0-597.25,0.9819347914107748
597.25-600.5,0.9873537773438551
600.5-603.75,0.9799103482101854
603.75-607.0,0.9780582753610162
607.0-610.25,0.9755383614808091
613.5-616.75,0.9728576090225216
616.75-620.0,0.9620425925492395
620.0-623.25,0.9577503249398578
623.25-626.5,0.9435265036501684
629.75-633.0,0.9226652069853867
633.0-636.25,0.9017997446552224
636.25-639.5,0.9007147276883696
639.5-642.75,0.9282359064763884
646.0-649.25,0.9592339383562802
649.25-652.5,0.975873974514906
652.5-655.75,0.9780582753610162
655.75-659.0,0.9765455470042036
659.0-662.25,0.9696837818251018
665.5-668.75,0.958079818381789
668.75-672.0,0.9428776384285524
672.0-675.25,0.9244123862913437
675.25-678.5,0.8911613854489004
681.75-685.0,0.849848217802021
685.0-688.25,0.8086402974675031
688.25-691.5,0.7608769223424755
691.5-694.75,0.7600921722367384
698.0-701.25,0.7892667511646271
701.25-704.5,0.8437315788256021
704.5-707.75,0.9030413645834723
707.75-711.0,0.9344828856253623
711.0-714.25,0.9290344615787604
717.5-720.75,0.9263221736238136
720.75-724.0,0.9185486262716863
724.0-727.25,0.90568548591158
727.25-730.5,0.8827714925700232
733.75-737.0,0.855714809089874
737.0-740.25,0.8280620396541752
740.25-743.5,0.8000635336233504
743.5-746.75,0.8122643114365702
750.0-753.25,0.8596976349801612
753.25-756.5,0.9028860686527942
756.5-759.75,0.9285552461161513
759.75-763.0,0.9503666067497156
763.0-766.25,0.9630358444913095
769.5-772.75,0.9723557886612315
772.75-776.0,0.9799103482101854
776.0-779.25,0.9805846984326752
779.25-782.5,0.9810907656288407
785.75-789.0,0.9810907656288407
789.0-792.25,0.9807533584869597
792.25-795.5,0.9800788922765851
795.5-798.75,0.9767135123265589
802.0-805.25,0.9648594705321003
805.25-808.5,0.9474290829376484
808.5-811.75,0.9038182449910381
811.75-815.0,0.8424266088488831
815.0-818.25,0.8022681443131942
821.5-824.75,0.8085012356786371
824.75-828.0,0.8412683300516351
828.0-831.25,0.8817093697950179
831.25-834.5,0.9080249627760125
837.75-841.0,0.923458969652483
841.0-844.25,0.9336796473093935
844.25-847.5,0.9381866914164987
847.5-850.75,0.944013445586926
854.0-857.25,0.9456384010816733
857.25-860.5,0.9487335264540177
860.5-863.75,0.9469403791434988
863.75-867.0,0.9448255739999959
867.0-870.25,0.9386708775445953
873.5-876.75,0.9295139243583279
876.75-880.0,0.914765009209482
880.0-883.25,0.9013345774308753
883.25-886.5,0.901954853738742
889.75-893.0,0.8999405149208966
893.0-896.25,0.9024203410797422
896.25-899.5,0.9067764907421199
899.5-902.75,0.9099008945540723
906.0-909.25,0.9307937018465221
909.25-912.5,0.9556113779079376
912.5-915.75,0.9718542271494104
915.75-919.0,0.9817659281855917
919.0-922.25,0.9875236016761647
925.5-928.75,0.9907558195639331
928.75-932.0,0.993315041671637
932.0-935.25,0.9938276788348023
935.25-938.5,0.9926319367645093
941.75-945.0,0.9909262290457218
945.0-948.25,0.987183982216218
948.25-951.5,0.9822726049992946
951.5-954.75,0.9773856625651487
958.0-961.25,0.9767135123265589
961.25-964.5,0.9794048898980853
964.5-967.75,0.9839634170044572
967.75-971.0,0.9868444795548748
971.0-974.25,0.9893935982772397
977.5-980.75,0.9902447669302147
980.75-984.0,0.9897339779081651
984.0-987.25,0.9863354444723769
987.25-990.5,0.9829485808688593
993.75-997.0,0.9728576090225216
997.0-1000.25,0.9627046466213443
1000.25-1003.5,0.946289166192307
1003.5-1006.75,0.9309537978754848
1010.0-1013.25,0.9303135789308813
1013.25-1016.5,0.9432020152419206
1016.5-1019.75,0.9565979900021653
1019.75-1023.0,0.9590689789944647
1023.0-1026.25,0.9490599178599685
1029.5-1032.75,0.9420671843709068
1032.75-1036.0,0.94093371889255
1036.0-1039.25,0.9453131863703134
1039.25-1042.5,0.9516750947206617
1045.75-1049.0,0.9524938143989103
1049.0-1052.25,0.9492231556685136
1052.25-1055.5,0.946289166192307
1055.5-1058.75,0.9453131863703134
1062.0-1065.25,0.9510206256953048
1065.25-1068.5,0.9589040480006935
1068.5-1071.75,0.9653574221396731
1071.75-1075.0,0.9676845963842676
1075.0-1078.25,0.9665203088449753
1081.5-1084.75,0.9673517997610116
1084.75-1088.0,0.9681840060030867
1088.0-1091.25,0.9693502976615399
1091.25-1094.5,0.9661879126321048
1097.75-1101.0,0.9564334839441174
1101.0-1104.25,0.9341615074097861
1104.25-1107.5,0.8911613854489004
1107.5-1110.75,0.822950974800721
1114.0-1117.25,0.744822185168339
1117.25-1120.5,0.6904201089337456
1120.5-1123.75,0.6936335897054071
1123.75-1127.0,0.7370490521101775
1127.0-1130.25,0.8018543175760676
1133.5-1136.75,0.8678682330640538
1136.75-1140.0,0.9146076971648428
1140.0-1143.25,0.9336796473093935
1143.25-1146.5,0.9209213299237227
1149.75-1153.0,0.9164972285256594
1153.0-1156.25,0.9194969732721163
1156.25-1159.5,0.9322355578167277
1159.5-1162.75,0.9633671563027929
1166.0-1169.25,0.9805846984326752
1169.25-1172.5,0.9880332499513687
1172.5-1175.75,0.9910966678378526
1175.75-1179.0,0.990074474639396
1179.0-1182.25,0.9888832483058353
1185.5-1188.75,0.9873537773438551
1188.75-1192.0,0.9863354444723769
1192.0-1195.25,0.9839634170044572
1195.25-1198.5,0.9805846984326752
1201.75-1205.0,0.9777219111235328
1205.0-1208.25,0.9753705982490238
1208.25-1211.5,0.9731922998012756
1211.5-1214.75,0.9708518801401614
1218.0-1221.25,0.9655234631104141
1221.25-1224.5,0.9600591608568303
1224.5-1227.75,0.9570916779655118
1227.75-1231.0,0.9549542018921016
1231.0-1234.25,0.9518387823382565
1237.5-1240.75,0.9441758154048852
1240.75-1244.0,0.9378640394242553
1244.0-1247.25,0.9282359064763884
1247.25-1250.5,0.9072444664681864
1253.75-1257.0,0.8817093697950179
1257.0-1260.25,0.8591064190532256
1260.25-1263.5,0.8561564325364214
1263.5-1266.75,0.8764178938854367
1270.0-1273.25,0.8861179293829768
1273.25-1276.5,0.8884068612773244
1276.5-1279.75,0.8890182410486044
1279.75-1283.0,0.8833789942190358
1283.0-1286.25,0.8699603914225733
1289.5-1292.75,0.8406897879976438
1292.75-1296.0,0.7973162876658858
1296.0-1299.25,0.7323737807395402
1299.25-1302.5,0.652326575724466
1305.75-1309.0,0.5834316217459787
1309.0-1312.25,0.5484986159016475
1312.25-1315.5,0.560610748290154
1315.5-1318.75,0.6176081466643191
1322.0-1325.25,0.6713339895298457
1325.25-1328.5,0.6726052424664601
1328.5-1331.75,0.6291870161796186
1331.75-1335.0,0.5372946250178612
1335.0-1338.25,0.39073553730333843
1341.5-1344.75,0.24294553178585215
1344.75-1348.0,0.17909357262044662
1348.0-1351.25,0.1914193353807057
1351.25-1354.5,0.3192967543790227
1357.75-1361.0,0.5962126083563283
1361.0-1364.25,0.822950974800721
1364.25-1367.5,0.9097444189907306
1367.5-1370.75,0.9449880835036165
1374.0-1377.25,0.9521662420408424
1377.25-1380.5,0.9506935599818892
1380.5-1383.75,0.9352868149618472
1383.75-1387.0,0.9146076971648428
1387.0-1390.25,0.9011795750162086
1393.5-1396.75,0.8982395885079881
1396.75-1400.0,0.9047513837460877
1400.0-1403.25,0.916812529725235
1403.25-1406.5,0.9169702209999193
1409.75-1413.0,0.9106836761691008
1413.0-1416.25,0.9075565844535793
1416.25-1419.5,0.8977762576868593
1419.5-1422.75,0.8934633450984303
1426.0-1429.25,0.8862703412024874
1429.25-1432.5,0.8862703412024874
1432.5-1435.75,0.8888653566730398
1435.75-1439.0,0.8919280455903817
1439.0-1442.25,0.8946934872680304
1445.5-1448.75,0.8916213024192403
1448.75-1452.0,0.8887124985889859
1452.0-1455.25,0.8806485249325852
1455.25-1458.5,0.8650369206743167
1461.75-1465.0,0.8488257072712408
1465.0-1468.25,0.8277772606552405
1468.25-1471.5,0.7981394694639704
1471.5-1474.75,0.7628423440967054
1478.0-1481.25,0.7350236616833741
1481.25-1484.5,0.710415296498579
1484.5-1487.75,0.6715649475792825
1487.75-1491.0,0.6237996862703322
1491.0-1494.25,0.6022932333749214
1497.5-1500.75,0.6232634968791632
1500.75-1504.0,0.6882860635075716
1504.0-1507.25,0.7665247249877523
1507.25-1510.5,0.8145025419129194
1513.75-1517.0,0.825360590029655
1517.0-1520.25,0.8104502788094433
1520.25-1523.5,0.7440539935312911
1523.5-1526.75,0.6255185940806214
1530.0-1533.25,0.46582000530974166
1533.25-1536.5,0.3618225149568645
1536.5-1539.75,0.35602011816610274
1539.75-1543.0,0.3999137458721009
1543.0-1546.25,0.5528551607928118
1549.5-1552.75,0.7214970903294926
1552.75-1556.0,0.7899457520380874
1556.0-1559.25,0.8103109057582724
1559.25-1562.5,0.8171684525616726
1565.75-1569.0,0.8185750663904604
1569.0-1572.25,0.8174495818278925
1572.25-1575.5,0.8082231838401177
1575.5-1578.75,0.7881815635249633
1582.0-1585.25,0.7543620151755878
1585.25-1588.5,0.7274778925345108
1588.5-1591.75,0.7090725809280345
1591.75-1595.0,0.7100488493870507
1595.0-1598.25,0.7096825912966287
1601.5-1604.75,0.7007077872319017
1604.75-1608.0,0.6685686805798641
1608.0-1611.25,0.6114780613416868
1611.25-1614.5,0.5253247276088652
1617.75-1621.0,0.4435380839232219
1621.0-1624.25,0.4166944537620941
1624.25-1627.5,0.43680070233251345
1627.5-1630.75,0.5243318412016762
1634.0-1637.25,0.6426386890237202
1637.25-1640.5,0.7563106082681815
1640.5-1643.75,0.8385237965438712
1643.75-1647.0,0.8907017057133808
1647.0-1650.25,0.9190226774460332
1653.5-1656.75,0.9373802694801857
1656.75-1660.0,0.9570916779655118
1660.0-1663.25,0.9666865498316203
1663.25-1666.5,0.9767135123265589
1669.75-1673.0,0.9827795433024078
1673.0-1676.25,0.9873537773438551
1676.25-1679.5,0.992802668937474
1679.5-1682.75,0.9922905604959144
1686.0-1689.25,0.9916081601267117
1689.25-1692.5,0.9950248613172417
1692.5-1695.75,0.9939986166747764
1695.75-1699.0,0.9882031911526111
1699.0-1702.25,0.9865050936519667
1705.5-1708.75,0.9873537773438551
1708.75-1712.0,0.9916081601267117
1712.0-1715.25,0.9922905604959144
1715.25-1718.5,0.9907558195639331
1721.75-1725.0,0.9960521654964591
1725.0-1728.25,0.9972520276350607
1728.25-1731.5,0.9957096129762455
1731.5-1734.75,0.9910966678378526
1738.0-1741.25,0.993315041671637
1741.25-1744.5,0.9931442213859865
1744.5-1747.75,0.990074474639396
1747.75-1751.0,0.9866747720111264
1751.0-1754.25,0.987183982216218
1757.5-1760.75,0.9856571394493712
1760.75-1764.0,0.9851487168218058
1764.0-1767.25,0.9863354444723769
1767.25-1770.5,0.9858266719608525
1773.75-1777.0,0.9859962336318365
1777.0-1780.25,0.9882031911526111
1780.25-1783.5,0.9866747720111264
