bin_range,mean_transmittance
447.75-451.0,0.998976504670937
451.0-454.25,0.9575760293505905
457.5-460.75,0.9928574936059767
460.75-464.0,0.9664420101916078
464.0-467.25,0.9533362783052037
467.25-470.5,0.9210297913892347
473.75-477.0,0.9510611160686175
477.0-480.25,0.9439458946476492
480.25-483.5,0.9260736986249656
483.5-486.75,0.9439458946476492
490.0-493.25,0.9455583018089867
493.25-496.5,0.9579029439707826
496.5-499.75,0.9582299701989996
499.75-503.0,0.9556168832658328
503.0-506.25,0.9559431290373084
509.5-512.75,0.9611782349053022
512.75-516.0,0.9491152991258367
516.0-519.25,0.962820077597845
519.25-522.5,0.9520355199764156
525.75-529.0,0.9680928442352608
529.0-532.25,0.9533362783052037
532.25-535.5,0.9533362783052037
535.5-538.75,0.9507365364381906
542.0-545.25,0.9491152991258367
545.25-548.5,0.9611782349053022
548.5-551.75,0.9517106077998935
551.75-555.0,0.9500877094586678
555.0-558.25,0.9546388138494365
561.5-564.75,0.9439458946476492
564.75-568.0,0.952360543077332
568.0-571.25,0.9559431290373084
571.25-574.5,0.9494393252689547
577.75-581.0,0.9592117189128894
581.0-584.25,0.952360543077332
584.25-587.5,0.9556168832658328
587.5-590.75,0.9449130086984229
594.0-597.25,0.9520355199764156
597.25-600.5,0.9413717602961553
600.5-603.75,0.9327357698248739
603.75-607.0,0.9289230254943015
607.0-610.25,0.9235483016364705
613.5-616.75,0.9219734268851719
616.75-620.0,0.9200871216998199
620.0-623.25,0.9088500595328167
623.25-626.5,0.9104025175210151
629.75-633.0,0.8971375694164885
633.0-636.25,0.8980567262810708
636.25-639.5,0.8949965268846889
639.5-642.75,0.8913380492706032
646.0-649.25,0.88678597521531
649.25-652.5,0.8747604433062703
652.5-655.75,0.8596641064063647
655.75-659.0,0.8342255712425203
659.0-662.25,0.7985617826318555
665.5-668.75,0.7584448033204549
668.75-672.0,0.6569224410443694
672.0-675.25,0.5618485469097753
675.25-678.5,0.4428886880667692
681.75-685.0,0.3112867261887969
685.0-688.25,0.20758565943302315
688.25-691.5,0.1461020568331495
691.5-694.75,0.12334691672487949
698.0-701.25,0.12956125494974713
701.25-704.5,0.14407160952247097
704.5-707.75,0.16202187584206304
707.75-711.0,0.23336963878606812
711.0-714.25,0.35379472386874256
717.5-720.75,0.4599911222995465
720.75-724.0,0.549332495167606
724.0-727.25,0.6318507567950842
727.25-730.5,0.7045368413708676
733.75-737.0,0.7625983337134298
737.0-740.25,0.7996528510510633
740.25-743.5,0.8254447240131895
743.5-746.75,0.8451167200373716
750.0-753.25,0.8640769577418734
753.25-756.5,0.8780511135312312
756.5-759.75,0.8883007442980703
759.75-763.0,0.905134952828509
763.0-766.25,0.9160133560493584
769.5-772.75,0.9210297913892347
772.75-776.0,0.9270225018255203
776.0-779.25,0.9308274454980786
779.25-782.5,0.9286060011861721
785.75-789.0,0.9394457672241103
789.0-792.25,0.9368839046910038
792.25-795.5,0.9365641634815275
795.5-798.75,0.9320992274085123
802.0-805.25,0.9381639614919987
805.25-808.5,0.9416931428099652
808.5-811.75,0.9426579488174841
811.75-815.0,0.9433017019189769
815.0-818.25,0.9510611160686175
821.5-824.75,0.9552907488360257
