bin_range,mean_transmittance
447.75-451.0,0.7124505400363108
451.0-454.25,0.7253626911667491
457.5-460.75,0.725216318771092
460.75-464.0,0.7472039791256104
464.0-467.25,0.7855528055246472
467.25-470.5,0.8430464112693329
473.75-477.0,0.8859565024908538
477.0-480.25,0.920773445424981
480.25-483.5,0.9412526241614704
483.5-486.75,0.9649096682731829
490.0-493.25,0.9670540854364389
493.25-496.5,0.9542586997524972
496.5-499.75,0.9627700062989483
499.75-503.0,0.9387864271505076
503.0-506.25,0.9433444658629049
509.5-512.75,0.9462044713415843
512.75-516.0,0.931990629810823
516.0-519.25,0.9507985264807375
519.25-522.5,0.9389759049860105
525.75-529.0,0.950414838105145
529.0-532.25,0.9825955614007768
532.25-535.5,0.9764674524735472
535.5-538.75,0.9989914470664254
542.0-545.25,0.9812084418200593
545.25-548.5,0.9758764417601122
548.5-551.75,0.9989914470664254
551.75-555.0,0.9861714513541329
555.0-558.25,0.9719455014102794
561.5-564.75,0.957731465386084
564.75-568.0,0.9344389742254962
568.0-571.25,0.9544513003991508
571.25-574.5,0.9355711476281775
577.75-581.0,0.9652992083017786
581.0-584.25,0.9590853959191749
584.25-587.5,0.9731231180079442
587.5-590.75,0.987964273430389
594.0-597.25,0.9744988074882893
597.25-600.5,0.9776505479016793
600.5-603.75,0.9627700062989483
603.75-607.0,0.9556077208891697
607.0-610.25,0.9439157745470037
613.5-616.75,0.9194735994601434
616.75-620.0,0.9299239649441341
620.0-623.25,0.9009216384836592
623.25-626.5,0.9267390387507671
629.75-633.0,0.938407586177126
633.0-636.25,0.933496543056795
636.25-639.5,0.9746954932513162
639.5-642.75,0.9397341988335215
646.0-649.25,0.9617990017847383
649.25-652.5,0.9752857887582036
652.5-655.75,0.9463954463812613
655.75-659.0,0.9713572276252666
659.0-662.25,0.9403033210661376
665.5-668.75,0.92786188285278
668.75-672.0,0.9076740513886757
672.0-675.25,0.8804310979751735
675.25-678.5,0.9012853461470363
681.75-685.0,0.8574597599011455
685.0-688.25,0.865981076744989
688.25-691.5,0.8951222366144564
691.5-694.75,0.8890012712477311
698.0-701.25,0.9031060881154661
701.25-704.5,0.9100585160205916
704.5-707.75,0.9032883644904295
707.75-711.0,0.9098748734831409
711.0-714.25,0.8913366823854357
717.5-720.75,0.9018311829688315
720.75-724.0,0.859191967106961
724.0-727.25,0.8481660095107344
727.25-730.5,0.8389729913066699
733.75-737.0,0.8119874707921
737.0-740.25,0.7957648062723642
740.25-743.5,0.7831783871027951
743.5-746.75,0.7940002186094979
750.0-753.25,0.777509023501399
753.25-756.5,0.7652113516255191
756.5-759.75,0.7644395954720327
759.75-763.0,0.734051157794412
763.0-766.25,0.7180801373942394
