bin_range,mean_transmittance
548.5-551.75,0.9983982244722099
551.75-555.0,0.9993752736285926
555.0-558.25,0.9997011691137757
561.5-564.75,0.9992802407924374
564.75-568.0,0.9994974719837209
568.0-571.25,0.9995925254788411
571.25-574.5,0.999266665410712
577.75-581.0,0.999483893650875
581.0-584.25,0.9997147503983841
584.25-587.5,0.9996468458203573
587.5-590.75,0.9997011691137757
594.0-597.25,0.9996468458203573
597.25-600.5,0.9997147503983841
600.5-603.75,0.9996740070980686
603.75-607.0,0.9995246292028146
607.0-610.25,0.9994974719837209
613.5-616.75,0.9994567375385714
616.75-620.0,0.999538208089067
620.0-623.25,0.999538208089067
623.25-626.5,0.9993481204675099
629.75-633.0,0.9993209680441822
633.0-636.25,0.9994024275274505
636.25-639.5,0.9995517871597938
639.5-642.75,0.9997147503983841
646.0-649.25,0.999769077381906
649.25-652.5,0.999660426366965
652.5-655.75,0.999483893650875
655.75-659.0,0.9993345441636278
659.0-662.25,0.999198791268389
665.5-668.75,0.9989273407987678
668.75-672.0,0.9988730595548175
672.0-675.25,0.9988323505575499
675.25-678.5,0.998642397172761
681.75-685.0,0.9984524799124419
685.0-688.25,0.9984796087381886
688.25-691.5,0.9985338686010438
691.5-694.75,0.9987645059156091
698.0-701.25,0.9992395152005292
701.25-704.5,0.9994974719837209
704.5-707.75,0.999538208089067
707.75-711.0,0.9996061052874885
711.0-714.25,0.9998098245569612
717.5-720.75,0.9999049077572135
720.75-724.0,0.9999049077572135
724.0-727.25,0.9999728298650175
727.25-730.5,0.9999592450743587
733.75-737.0,0.999782659589071
737.0-740.25,0.9997554953592568
740.25-743.5,0.999769077381906
743.5-746.75,0.9996875880136717
750.0-753.25,0.9996875880136717
753.25-756.5,0.9995925254788411
756.5-759.75,0.9994974719837209
759.75-763.0,0.999538208089067
763.0-766.25,0.9995789458546784
769.5-772.75,0.9995517871597938
772.75-776.0,0.9995517871597938
776.0-779.25,0.999660426366965
779.25-782.5,0.9995789458546784
785.75-789.0,0.9993073921091701
789.0-792.25,0.9990766294299036
792.25-795.5,0.998845920038959
795.5-798.75,0.998466044233177
802.0-805.25,0.9979371722482588
805.25-808.5,0.9975034352374768
808.5-811.75,0.9972866374309592
811.75-815.0,0.9973408324647893
815.0-818.25,0.9976389577986796
821.5-824.75,0.9975982990971378
824.75-828.0,0.9979100581605848
828.0-831.25,0.9983168468397156
831.25-834.5,0.9981947928275738
837.75-841.0,0.9980863128997555
841.0-844.25,0.9979371722482588
844.25-847.5,0.9977067259837499
847.5-850.75,0.9973408324647893
854.0-857.25,0.9970563413896534
857.25-860.5,0.9970292512342727
860.5-863.75,0.997069886743366
863.75-867.0,0.9972595410184039
867.0-870.25,0.9975440900726915
873.5-876.75,0.9977067259837499
876.75-880.0,0.9978965013930093
880.0-883.25,0.9981541114730167
883.25-886.5,0.9983032845458503
889.75-893.0,0.9983846610728166
893.0-896.25,0.9984524799124419
896.25-899.5,0.9986016975761222
899.5-902.75,0.998683098428177
906.0-909.25,0.9985067383010492
909.25-912.5,0.9983439719801933
912.5-915.75,0.9980049606906094
915.75-919.0,0.9973543816834111
919.0-922.25,0.9963928444280837
925.5-928.75,0.9949049691563902
928.75-932.0,0.9932168985198127
932.0-935.25,0.9915182219423181
935.25-938.5,0.9899165839614029
941.75-945.0,0.9882638284566947
945.0-948.25,0.9873647082293188
948.25-951.5,0.9878879771761032
951.5-954.75,0.9885458107553917
958.0-961.25,0.9891503294987375
961.25-964.5,0.9901721340009507
964.5-967.75,0.9909795673125145
967.75-971.0,0.9908449493848437
971.0-974.25,0.9898358976520781
977.5-980.75,0.9882369771950772
980.75-984.0,0.9862922032708742
984.0-987.25,0.9840972087615409
987.25-990.5,0.9817870514554073
993.75-997.0,0.9798949060301461
997.0-1000.25,0.980121238192519
1000.25-1003.5,0.9821739245710627
1003.5-1006.75,0.9839100576388714
1010.0-1013.25,0.9858233487599476
1013.25-1016.5,0.9879550829910301
1016.5-1019.75,0.9895669907822798
1019.75-1023.0,0.9906430567805787
1023.0-1026.25,0.9911680631380477
1029.5-1032.75,0.9909526422639057
1032.75-1036.0,0.9904950283495906
1036.0-1039.25,0.9901452308904141
1039.25-1042.5,0.9895535473566072
1045.75-1049.0,0.9888950431731164
1049.0-1052.25,0.988586100508408
1052.25-1055.5,0.9883846681627158
1055.5-1058.75,0.9881698522327815
1062.0-1065.25,0.9880758849452786
1065.25-1068.5,0.9881027318298792
1068.5-1071.75,0.9880087709250054
1071.75-1075.0,0.988062461776517
1075.0-1078.25,0.9884518077171498
1081.5-1084.75,0.9891503294987375
1084.75-1088.0,0.9902393949753778
1088.0-1091.25,0.9914104675982562
1091.25-1094.5,0.9924211244683349
1097.75-1101.0,0.993041503683588
1101.0-1104.25,0.9932168985198127
1104.25-1107.5,0.9929335837951911
1107.5-1110.75,0.9923537153022153
1114.0-1117.25,0.9916125166004973
1117.25-1120.5,0.9906026831964622
1120.5-1123.75,0.9895535473566072
1123.75-1127.0,0.9887875739059209
1127.0-1130.25,0.9882906804478844
1133.5-1136.75,0.9880758849452786
1136.75-1140.0,0.988062461776517
1140.0-1143.25,0.988492093638923
1143.25-1146.5,0.9897821104328915
1149.75-1153.0,0.9913700627383695
1153.0-1156.25,0.9924750550981014
1156.25-1159.5,0.9934867972226786
1159.5-1162.75,0.9944050015358536
1166.0-1169.25,0.9949184852829706
1169.25-1172.5,0.9951347682824389
1172.5-1175.75,0.9951618069630634
1175.75-1179.0,0.9949320015931719
1179.0-1182.25,0.9945671256614891
1185.5-1188.75,0.9940673278167739
1188.75-1192.0,0.9936082755658658
1192.0-1195.25,0.9931224512973584
1195.25-1198.5,0.9925694407523439
1201.75-1205.0,0.9920167381458543
1205.0-1208.25,0.9913700627383695
1208.25-1211.5,0.9908449493848437
1211.5-1214.75,0.9903066605187469
1218.0-1221.25,0.9897148805190379
1221.25-1224.5,0.989284717192387
1224.5-1227.75,0.9888413070795216
1227.75-1231.0,0.9884518077171498
1231.0-1234.25,0.9881832768604795
1237.5-1240.75,0.9879013979744314
1240.75-1244.0,0.9879148189550854
1244.0-1247.25,0.9881832768604795
1247.25-1250.5,0.988747275941871
1253.75-1257.0,0.9894863329676618
1257.0-1260.25,0.9902393949753778
1260.25-1263.5,0.9909661046967639
1263.5-1266.75,0.9915855743545708
1270.0-1273.25,0.992218910705757
1273.25-1276.5,0.9927582389902743
1276.5-1279.75,0.993162927578622
1279.75-1283.0,0.9935542833574299
1283.0-1286.25,0.9938512768152552
1289.5-1292.75,0.9941348533861367
1292.75-1296.0,0.9942158901241269
1296.0-1299.25,0.994269918285918
1299.25-1302.5,0.9944320203880785
1305.75-1309.0,0.9945401031384357
1309.0-1312.25,0.9945941489187681
1312.25-1315.5,0.9944725500429082
1315.5-1318.75,0.9941888771441906
1322.0-1325.25,0.9938377751868728
1325.25-1328.5,0.9933653337314092
1328.5-1331.75,0.9929470731398227
1331.75-1335.0,0.9925155049937051
1335.0-1338.25,0.9921784728978309
1341.5-1344.75,0.9919493564472528
1344.75-1348.0,0.9918011328203379
1348.0-1351.25,0.9917202929048453
1351.25-1354.5,0.9915182219423181
1357.75-1361.0,0.9912892579586192
1361.0-1364.25,0.9909122560626556
1364.25-1367.5,0.9903335680154676
1367.5-1370.75,0.9897283261364771
1374.0-1377.25,0.989271277601446
1377.25-1380.5,0.9890428324880172
1380.5-1383.75,0.9890697056454266
1383.75-1387.0,0.9896610998758656
1387.0-1390.25,0.9905757683878457
1393.5-1396.75,0.9918415552491698
1396.75-1400.0,0.9933518387046406
1400.0-1403.25,0.9945401031384357
1403.25-1406.5,0.9953781428576614
1409.75-1413.0,0.9959597786340378
1413.0-1416.25,0.9961221562448
1416.25-1419.5,0.9958380127965704
1419.5-1422.75,0.9952429274130041
1426.0-1429.25,0.9943914923850323
1429.25-1432.5,0.9931764200389673
1432.5-1435.75,0.9916664032885031
1435.75-1439.0,0.9898896877941958
1439.0-1442.25,0.9883309598026601
1445.5-1448.75,0.987069653158532
1448.75-1452.0,0.9855287542949774
1452.0-1455.25,0.9849130684923887
