bin_range,mean_transmittance
548.5-551.75,0.9947776058630146
551.75-555.0,0.9953835524774066
555.0-558.25,0.9959191899262891
558.25-561.5,0.9960781194551368
561.5-564.75,0.9959895917480565
564.75-568.0,0.9960972712576364
568.0-571.25,0.9961091977315685
571.25-574.5,0.9961749117303775
574.5-577.75,0.9962002583141956
577.75-581.0,0.9961806481157977
581.0-584.25,0.9958446625238855
584.25-587.5,0.9961682744548832
587.5-590.75,0.9965196116901407
590.75-594.0,0.9965566694372638
594.0-597.25,0.9963473159698135
597.25-600.5,0.9961817934927034
600.5-603.75,0.9961565616793742
603.75-607.0,0.9963205836440427
607.0-610.25,0.9965912064647355
610.25-613.5,0.9965282161024775
613.5-616.75,0.9965742245466891
616.75-620.0,0.9966636090809369
620.0-623.25,0.9966665916777818
623.25-626.5,0.9966688844590333
626.5-629.75,0.9966647539521714
629.75-633.0,0.9967178838761439
633.0-636.25,0.9961820224660108
636.25-639.5,0.9954159042625774
639.5-642.75,0.9929815104398092
642.75-646.0,0.9896371729867042
646.0-649.25,0.9830887531353062
649.25-652.5,0.9701936338777284
652.5-655.75,0.9628441586831513
655.75-659.0,0.9630333283844248
659.0-662.25,0.9737208412866176
662.25-665.5,0.984976797030867
665.5-668.75,0.9908805810274484
668.75-672.0,0.9930040079902758
672.0-675.25,0.9920098855606626
675.25-678.5,0.9893528472286947
678.5-681.75,0.9856240017440869
681.75-685.0,0.9848417304344026
685.0-688.25,0.9893182030690639
688.25-691.5,0.9912794674214149
691.5-694.75,0.9936444799135321
694.75-698.0,0.9941364557434936
698.0-701.25,0.9938732570901976
701.25-704.5,0.9931984005937038
704.5-707.75,0.9923525728134374
707.75-711.0,0.9908230399341487
711.0-714.25,0.9870664423503752
714.25-717.5,0.9817841126171077
717.5-720.75,0.9728678595347284
720.75-724.0,0.9565673127487675
724.0-727.25,0.9438130978305417
727.25-730.5,0.9339154265004512
730.5-733.75,0.9323130936254276
733.75-737.0,0.9408404912427426
737.0-740.25,0.9550643436143532
740.25-743.5,0.9748995177335694
743.5-746.75,0.9858289605743986
746.75-750.0,0.9895915995600391
750.0-753.25,0.9916789046486232
753.25-756.5,0.9935072286669966
756.5-759.75,0.9944111837508299
759.75-763.0,0.9948692588594326
763.0-766.25,0.9955338930516833
766.25-769.5,0.9957582195321655
769.5-772.75,0.9960925717377369
772.75-776.0,0.9964664961368337
776.0-779.25,0.9965463435363695
779.25-782.5,0.9963436363074734
782.5-785.75,0.9961370689337327
785.75-789.0,0.9956378538608499
789.0-792.25,0.9951098115862429
792.25-795.5,0.9936559805167973
795.5-798.75,0.9910057315089111
798.75-802.0,0.9881571103819734
802.0-805.25,0.9839128841303644
805.25-808.5,0.9750411857220327
808.5-811.75,0.9641530956516988
811.75-815.0,0.9504203376021361
815.0-818.25,0.9393254963012356
818.25-821.5,0.9423798685700879
821.5-824.75,0.9567629094768326
824.75-828.0,0.9792547221851314
828.0-831.25,0.9890221087720653
831.25-834.5,0.9923185124310105
834.5-837.75,0.993598674536182
837.75-841.0,0.9937016249488994
841.0-844.25,0.9924213162578779
844.25-847.5,0.988556461126624
847.5-850.75,0.9827566698365112
850.75-854.0,0.9741328578876235
854.0-857.25,0.9620285832239469
857.25-860.5,0.9556885021159602
860.5-863.75,0.9662421975662231
863.75-867.0,0.9757816439713095
867.0-870.25,0.9870342196929351
870.25-873.5,0.9923525728134374
873.5-876.75,0.9945830491838485
876.75-880.0,0.9959067057565175
880.0-883.25,0.9962281287898328
883.25-886.5,0.9963350302672391
886.5-889.75,0.9963931885781289
889.75-893.0,0.9962749254496944
893.0-896.25,0.99617422381127
896.25-899.5,0.9963709352104568
899.5-902.75,0.9966273473646262
902.75-906.0,0.9968994353339609
906.0-909.25,0.9969217035810545
909.25-912.5,0.9969952747917752
912.5-915.75,0.9970406171407289
915.75-919.0,0.9971347462851081
919.0-922.25,0.9970590965808208
922.25-925.5,0.9970441736864352
925.5-928.75,0.9969419028749404
928.75-932.0,0.9968017700558578
932.0-935.25,0.9967023907800077
935.25-938.5,0.9966803620648184
938.5-941.75,0.9964016808563454
941.75-945.0,0.9961019722762475
945.0-948.25,0.9957900994643496
948.25-951.5,0.9953762016388137
951.5-954.75,0.9947776058630146
954.75-958.0,0.9937245653098558
958.0-961.25,0.9921584793708642
961.25-964.5,0.9906859412595547
964.5-967.75,0.9888060320579053
967.75-971.0,0.986179743752932
971.0-974.25,0.9843646292620727
974.25-977.5,0.9821800967913759
977.5-980.75,0.9790641423806024
980.75-984.0,0.9756997930492559
984.0-987.25,0.9727382644851975
987.25-990.5,0.9702666727149727
990.5-993.75,0.9690161268673714
993.75-997.0,0.9705680707110811
997.0-1000.25,0.9744993913894652
1000.25-1003.5,0.9809265773031379
1003.5-1006.75,0.9847500238511173
1006.75-1010.0,0.9871680869548545
1010.0-1013.25,0.9892954992301838
1013.25-1016.5,0.9902526197044081
1016.5-1019.75,0.9909369151070881
1019.75-1023.0,0.9914161756833694
1023.0-1026.25,0.9915988170619382
1026.25-1029.5,0.9917814934017777
1029.5-1032.75,0.991553154351728
1032.75-1036.0,0.99137051928126
1036.0-1039.25,0.9910738149476029
1039.25-1042.5,0.9904920824162156
1042.5-1045.75,0.9898308945520995
1045.75-1049.0,0.9893637639050649
1049.0-1052.25,0.9888968700953502
1052.25-1055.5,0.9891587828871027
1055.5-1058.75,0.9899562457446723
1058.75-1062.0,0.9908342815955993
1062.0-1065.25,0.9919185351658526
1065.25-1068.5,0.9923754228389181
1068.5-1071.75,0.9928896986560269
1071.75-1075.0,0.9933241710024248
1075.0-1078.25,0.9937702697962358
1078.25-1081.5,0.9939991267911137
1081.5-1084.75,0.9946287338285994
1084.75-1088.0,0.994846325039047
1088.0-1091.25,0.9950868811895562
1091.25-1094.5,0.9950639676760125
1094.5-1097.75,0.9951212492176192
1097.75-1101.0,0.9950868811895562
1101.0-1104.25,0.9946402031085863
1104.25-1107.5,0.9932213490846828
1107.5-1110.75,0.991804330014596
1110.75-1114.0,0.9907201878861667
1114.0-1117.25,0.9909940327615154
1117.25-1120.5,0.9926039520338331
