bin_range,mean_transmittance
447.75-451.0,0.9140872472693392
451.0-454.25,0.9206798493935121
457.5-460.75,0.9316875068450393
460.75-464.0,0.952781574738627
464.0-467.25,0.9781308575212467
467.25-470.5,0.9843687861846615
473.75-477.0,0.9928394195566287
477.0-480.25,0.9906464965947727
480.25-483.5,0.9909203468612993
483.5-486.75,0.9892783800608251
490.0-493.25,0.9884584172269778
493.25-496.5,0.9920165051571804
496.5-499.75,0.9868205298731898
499.75-503.0,0.9911942728298735
503.0-506.25,0.9890049835674474
509.5-512.75,0.9925650389361027
512.75-516.0,0.9950371968344627
516.0-519.25,0.9892783800608251
519.25-522.5,0.9900990230841847
525.75-529.0,0.9953122608482087
529.0-532.25,0.9980670865222229
532.25-535.5,0.9925650389361027
535.5-538.75,0.9898253997982991
542.0-545.25,0.989551852130812
545.25-548.5,0.9914682745214229
548.5-551.75,0.9819231338237175
551.75-555.0,0.9925650389361027
555.0-558.25,0.9920165051571804
561.5-564.75,0.9986189659594519
564.75-568.0,0.9900990230841847
568.0-571.25,0.9917423519568789
571.25-574.5,0.9890049835674474
577.75-581.0,0.989551852130812
581.0-584.25,0.9950371968344627
584.25-587.5,0.9860026042271006
587.5-590.75,0.9942124608085429
594.0-597.25,0.9890049835674474
597.25-600.5,0.989551852130812
600.5-603.75,0.9851853565182271
603.75-607.0,0.9909203468612993
607.0-610.25,0.9879121529423827
613.5-616.75,0.9900990230841847
616.75-620.0,0.9876391340188689
620.0-623.25,0.9876391340188689
623.25-626.5,0.9911942728298735
629.75-633.0,0.9879121529423827
633.0-636.25,0.9860026042271006
636.25-639.5,0.9811092673816139
639.5-642.75,0.974083955548791
646.0-649.25,0.9496266499770495
649.25-652.5,0.9166172583182542
652.5-655.75,0.8690018399749206
655.75-659.0,0.8759953442883804
659.0-662.25,0.90528707523219
665.5-668.75,0.8714070636154777
668.75-672.0,0.9042867512128707
672.0-675.25,0.9580630921785417
675.25-678.5,0.9668416792663183
681.75-685.0,0.9762402152037143
685.0-688.25,0.974083955548791
688.25-691.5,0.9784012480156872
691.5-694.75,0.9743532273341989
698.0-701.25,0.9778605417517923
701.25-704.5,0.9687141198446796
704.5-707.75,0.9538355438397972
707.75-711.0,0.9456976808280462
711.0-714.25,0.9337499165280677
717.5-720.75,0.8815819142499928
720.75-724.0,0.9040368429648261
724.0-727.25,0.9268075222552642
727.25-730.5,0.9304008146829328
733.75-737.0,0.9454363282755746
737.0-740.25,0.9540992182370729
740.25-743.5,0.9623093776728379
743.5-746.75,0.9649728579535878
750.0-753.25,0.9588578409655168
753.25-756.5,0.9433481063613258
756.5-759.75,0.9286024304084974
759.75-763.0,0.9030379004270286
763.0-766.25,0.8492929949557921
769.5-772.75,0.7765425007932194
772.75-776.0,0.6783700225170317
776.0-779.25,0.5710616212977007
779.25-782.5,0.40434819800587923
785.75-789.0,0.2575452212737736
789.0-792.25,0.21259210100558953
792.25-795.5,0.1723607130180436
795.5-798.75,0.1627310317616217
802.0-805.25,0.21136171588922537
805.25-808.5,0.31748430603262356
808.5-811.75,0.5578015850194634
811.75-815.0,0.8071802925843958
815.0-818.25,0.9108086699626585
821.5-824.75,0.9509399303914365
824.75-828.0,0.9735456352048694
828.0-831.25,0.9797543220858626
831.25-834.5,0.9846409010665933
837.75-841.0,0.9857301130255433
841.0-844.25,0.9843687861846615
844.25-847.5,0.9832810784645044
847.5-850.75,0.9700537971597201
854.0-857.25,0.9538355438397972
