bin_range,mean_transmittance
548.5-551.75,0.9996928823188879
551.75-555.0,0.9999046775206264
555.0-558.25,0.9998676101214663
561.5-564.75,0.9996452345813079
564.75-568.0,0.999835839158735
568.0-571.25,0.9998940866949324
571.25-574.5,0.9995499459190538
577.75-581.0,0.9991000943867833
581.0-584.25,0.9989519523346331
584.25-587.5,0.9988725995568798
587.5-590.75,0.9986345790424348
594.0-597.25,0.9986504453120307
597.25-600.5,0.9987297804413307
600.5-603.75,0.9989149202538848
603.75-607.0,0.9992853028463883
607.0-610.25,0.9995711203923383
613.5-616.75,0.999634646503591
616.75-620.0,0.9996028829433188
620.0-623.25,0.9997246487389964
623.25-626.5,0.9998199540559447
629.75-633.0,0.9998199540559447
633.0-636.25,0.9998040692055319
636.25-639.5,0.9998623148909036
639.5-642.75,0.9999205639695005
646.0-649.25,0.999835839158735
649.25-652.5,0.9998093641276279
652.5-655.75,0.9996452345813079
655.75-659.0,0.9995552394953229
659.0-662.25,0.9995870015416689
665.5-668.75,0.9994334943335775
668.75-672.0,0.9993593958431339
672.0-675.25,0.9993117640003117
675.25-678.5,0.9993223486580743
681.75-685.0,0.999512891670125
685.0-688.25,0.9995552394953229
688.25-691.5,0.9995023049941623
691.5-694.75,0.9995817077971901
698.0-701.25,0.9997034710134356
701.25-704.5,0.9998252490621661
704.5-707.75,0.9998623148909036
707.75-711.0,0.9998782006667217
711.0-714.25,0.9999417462939606
717.5-720.75,0.9998887913241516
720.75-724.0,0.9998411342490833
724.0-727.25,0.9998834959814148
727.25-730.5,0.9999841122890694
733.75-737.0,0.9999311550756402
737.0-740.25,0.9998517245139077
740.25-743.5,0.9999205639695005
743.5-746.75,0.9999470419451881
750.0-753.25,0.9999841122890694
753.25-756.5,0.9999417462939606
756.5-759.75,0.9998834959814148
759.75-763.0,0.9998940866949324
763.0-766.25,0.9998729053800723
769.5-772.75,0.9998623148909036
772.75-776.0,0.9997987743114777
776.0-779.25,0.9997352377700125
779.25-782.5,0.9997723002618241
785.75-789.0,0.9997405323275799
789.0-792.25,0.9997246487389964
792.25-795.5,0.9997670055360159
795.5-798.75,0.9997617108382483
802.0-805.25,0.9997564161685211
805.25-808.5,0.9996769994873541
808.5-811.75,0.999650528662222
811.75-815.0,0.9996293525067876
815.0-818.25,0.9997087654027674
821.5-824.75,0.999751121526834
824.75-828.0,0.9996028829433188
828.0-831.25,0.9994970116982311
831.25-834.5,0.9994493732963103
837.75-841.0,0.9994123227757025
841.0-844.25,0.9994229084985784
844.25-847.5,0.9993964444016177
847.5-850.75,0.999317056315179
854.0-857.25,0.9992800106996858
857.25-860.5,0.9992482584080256
860.5-863.75,0.9991371333323643
863.75-867.0,0.9990524749028848
867.0-870.25,0.9990313114163574
873.5-876.75,0.9989519523346331
876.75-880.0,0.9987985426514505
880.0-883.25,0.9985764048772263
883.25-886.5,0.9983648910240791
889.75-893.0,0.9980847041759862
893.0-896.25,0.9975879624033152
896.25-899.5,0.9971073096092452
899.5-902.75,0.9966163322929863
906.0-909.25,0.9959989945306659
909.25-912.5,0.9955032908052689
912.5-915.75,0.9951448504164365
915.75-919.0,0.9947918074369193
919.0-922.25,0.9945916297705315
925.5-928.75,0.994612699206811
928.75-932.0,0.9947549295766233
932.0-935.25,0.9949340634193443
935.25-938.5,0.9952660731605819
941.75-945.0,0.9955032908052689
945.0-948.25,0.9952133658053272
948.25-951.5,0.9943335653953462
951.5-954.75,0.9928812285833619
958.0-961.25,0.991179017992859
961.25-964.5,0.9896474272969387
964.5-967.75,0.9885316983488714
967.75-971.0,0.9884479385342465
971.0-974.25,0.9894378047386823
977.5-980.75,0.991011056856765
980.75-984.0,0.9928970034439363
984.0-987.25,0.9945705607805776
987.25-990.5,0.9956298300001016
993.75-997.0,0.9961889038714032
997.0-1000.25,0.9964263414690587
1000.25-1003.5,0.9963841262048458
1003.5-1006.75,0.9962680434500885
1010.0-1013.25,0.9960939446751612
1013.25-1016.5,0.9958513122956048
1016.5-1019.75,0.9955401964090423
1019.75-1023.0,0.9952502606609124
1023.0-1026.25,0.9950394513363079
1029.5-1032.75,0.9948286866643633
1032.75-1036.0,0.9945020896455502
1036.0-1039.25,0.9938018480183485
1039.25-1042.5,0.9926604068492803
1045.75-1049.0,0.9909165912257383
1049.0-1052.25,0.9883066099399787
1052.25-1055.5,0.9851033591645638
1055.5-1058.75,0.9817856950674065
1062.0-1065.25,0.9789923541227356
1065.25-1068.5,0.977220794839305
1068.5-1071.75,0.9767292642112555
1071.75-1075.0,0.9773294823569054
1075.0-1078.25,0.9780284765252292
1081.5-1084.75,0.9776815058432621
1084.75-1088.0,0.9758916453413542
1088.0-1091.25,0.9731356884093176
1091.25-1094.5,0.9698480568549637
1097.75-1101.0,0.9666636769794915
1101.0-1104.25,0.9645210272184115
1104.25-1107.5,0.9641839547647151
1107.5-1110.75,0.9658346901083549
1114.0-1117.25,0.9687597802115266
1117.25-1120.5,0.9724710915364447
1120.5-1123.75,0.9767499552510537
1123.75-1127.0,0.9806996041471553
1127.0-1130.25,0.9835811567046372
1133.5-1136.75,0.9855782254878437
1136.75-1140.0,0.9869623822676243
1140.0-1143.25,0.9880815727836578
1143.25-1146.5,0.9891444077491747
1149.75-1153.0,0.9901507026502893
1153.0-1156.25,0.9910058085299035
1156.25-1159.5,0.991751349268045
1159.5-1162.75,0.9924396342270527
1166.0-1169.25,0.9928970034439363
1169.25-1172.5,0.993007434485833
1172.5-1175.75,0.9928601958257918
1175.75-1179.0,0.9925815538469256
1179.0-1182.25,0.9922241654571589
1185.5-1188.75,0.9918931704626475
1188.75-1192.0,0.9916673166474347
1192.0-1195.25,0.9917198362008776
1195.25-1198.5,0.9919457019775026
1201.75-1205.0,0.9923292663294709
1205.0-1208.25,0.9927760692509032
1208.25-1211.5,0.9930915806663161
1211.5-1214.75,0.9932441137931235
1218.0-1221.25,0.9931862536424931
1221.25-1224.5,0.993038988467954
1224.5-1227.75,0.9929601053925787
1227.75-1231.0,0.9930021755862919
1231.0-1234.25,0.9930652842189783
1237.5-1240.75,0.9932704149758825
1240.75-1244.0,0.9936018695572261
1244.0-1247.25,0.9939544902381162
1247.25-1250.5,0.9943072360610259
1253.75-1257.0,0.9945231571850112
1257.0-1260.25,0.9947812707659034
1260.25-1263.5,0.9950183728598998
1263.5-1266.75,0.9953135121669764
1270.0-1273.25,0.9956931056290754
1273.25-1276.5,0.9960517434934931
1276.5-1279.75,0.9964632812924503
1279.75-1283.0,0.9968327548541889
1283.0-1286.25,0.9970597851062033
1289.5-1292.75,0.9972023654111534
1292.75-1296.0,0.9973449661051957
1296.0-1299.25,0.9974506093958785
1299.25-1302.5,0.9974664568546081
1305.75-1309.0,0.9973977863518344
1309.0-1312.25,0.9972657409800495
1312.25-1315.5,0.9971231516136403
1315.5-1318.75,0.9969541832090129
1322.0-1325.25,0.9967588491838479
1325.25-1328.5,0.9965846646401588
1328.5-1331.75,0.9962944247067443
1331.75-1335.0,0.9958987791972163
1335.0-1338.25,0.9955085629506156
1341.5-1344.75,0.9951817427319982
1344.75-1348.0,0.9947549295766233
1348.0-1351.25,0.994222986876187
1351.25-1354.5,0.9936123937360865
1357.75-1361.0,0.9928233895721396
1361.0-1364.25,0.9918038732719278
1364.25-1367.5,0.9909060956003749
1367.5-1370.75,0.9904443981239137
1374.0-1377.25,0.9904391527980381
1377.25-1380.5,0.990990063716087
1380.5-1383.75,0.9919719687782141
1383.75-1387.0,0.9931757339772386
1387.0-1390.25,0.9943440973242904
1393.5-1396.75,0.9952766149665994
1396.75-1400.0,0.995962071918818
1400.0-1403.25,0.9965371650476174
1403.25-1406.5,0.9970333835832803
1409.75-1413.0,0.9973660938681719
1413.0-1416.25,0.9975562638767763
1416.25-1419.5,0.9975298492074043
1419.5-1422.75,0.9973344023915435
1426.0-1429.25,0.9969541832090129
1429.25-1432.5,0.9963208066619774
1432.5-1435.75,0.9955138351238833
1435.75-1439.0,0.9947075171936014
1439.0-1442.25,0.9938965887054247
1445.5-1448.75,0.9931862536424931
1448.75-1452.0,0.992849679614088
1452.0-1455.25,0.9928917451292303
1455.25-1458.5,0.9930758027143548
1461.75-1465.0,0.9937018537571807
1465.0-1468.25,0.9945810952197643
