bin_range,mean_transmittance
548.5-551.75,0.9509638356730981
551.75-555.0,0.9511937762709267
555.0-558.25,0.9524540643973916
558.25-561.5,0.9531560448355769
561.5-564.75,0.9534304104654718
564.75-568.0,0.95389161115774
568.0-571.25,0.955056459021904
571.25-574.5,0.9566850778681999
574.5-577.75,0.9577210506088656
577.75-581.0,0.9595310895393361
581.0-584.25,0.9610124189590294
584.25-587.5,0.961742941026531
587.5-590.75,0.9637382369848017
590.75-594.0,0.9647815730036569
594.0-597.25,0.9664159056109258
597.25-600.5,0.9693805063894179
600.5-603.75,0.9726329989878171
603.75-607.0,0.975111005935308
607.0-610.25,0.9768076074607128
610.25-613.5,0.9782030880024111
613.5-616.75,0.9789691360020966
616.75-620.0,0.9794877560179771
620.0-623.25,0.9809999999736253
623.25-626.5,0.9813840606059379
626.5-629.75,0.9820396025039251
629.75-633.0,0.9826277034692779
633.0-636.25,0.983216142026663
636.25-639.5,0.9843601196565015
639.5-642.75,0.9844620982139227
642.75-646.0,0.9844394293534977
646.0-649.25,0.9843714292964745
649.25-652.5,0.9835784830385572
652.5-655.75,0.9827634585025323
655.75-659.0,0.9817232531237874
659.0-662.25,0.9782710978938535
662.25-665.5,0.9744940539412181
665.5-668.75,0.9705077325662792
668.75-672.0,0.9652165607222467
672.0-675.25,0.9564239529651868
675.25-678.5,0.9484381178324892
678.5-681.75,0.9385057308247283
681.75-685.0,0.9236620758423364
685.0-688.25,0.9107705937327211
688.25-691.5,0.897333313434235
691.5-694.75,0.8830517929454584
694.75-698.0,0.877968632522915
698.0-701.25,0.8826033317975305
701.25-704.5,0.8953306830156662
704.5-707.75,0.9085921912075083
707.75-711.0,0.9216763534943728
711.0-714.25,0.93724228480332
714.25-717.5,0.9467144370491627
717.5-720.75,0.9537401397525175
720.75-724.0,0.9618108735738558
724.0-727.25,0.9666720220966866
727.25-730.5,0.9689000983726227
730.5-733.75,0.9699380856331896
733.75-737.0,0.9705747754382463
737.0-740.25,0.9702619492639856
740.25-743.5,0.9689561132999706
743.5-746.75,0.9658045190076538
746.75-750.0,0.9621637707961683
750.0-753.25,0.959122784343525
753.25-756.5,0.9563877730262045
756.5-759.75,0.9562225914454294
759.75-763.0,0.958239920613114
763.0-766.25,0.9621419655872487
766.25-769.5,0.9643595819021589
769.5-772.75,0.966738837669781
772.75-776.0,0.9699382661353944
776.0-779.25,0.9718047108801923
779.25-782.5,0.9752240605714046
782.5-785.75,0.9802555264993824
785.75-789.0,0.9853246227459103
789.0-792.25,0.987890934285498
792.25-795.5,0.9900659603463371
795.5-798.75,0.9921538850075493
798.75-802.0,0.9933195886205501
802.0-805.25,0.9936169697641971
805.25-808.5,0.9950481139165586
808.5-811.75,0.9960909630112355
811.75-815.0,0.9960794952222503
815.0-818.25,0.9965025211153198
818.25-821.5,0.9966555740414015
821.5-824.75,0.9967666538058362
824.75-828.0,0.9966779506411931
828.0-831.25,0.9973387656510105
831.25-834.5,0.9977581930287678
834.5-837.75,0.9980477072675736
837.75-841.0,0.9977577274501543
841.0-844.25,0.9977061582303135
844.25-847.5,0.997537893430587
847.5-850.75,0.9976952396316727
850.75-854.0,0.9978519262014028
854.0-857.25,0.9979925516323767
857.25-860.5,0.9975669448863014
860.5-863.75,0.9975330648688926
863.75-867.0,0.9971480639241135
867.0-870.25,0.9973146569980487
870.25-873.5,0.9973068454043272
873.5-876.75,0.9964664191812793
876.75-880.0,0.9960106913928564
880.0-883.25,0.9958616309948033
883.25-886.5,0.9956323541533738
886.5-889.75,0.9950021172243944
889.75-893.0,0.9943264678539779
893.0-896.25,0.9936512900541136
896.25-899.5,0.9930680544892807
899.5-902.75,0.9926565211922912
902.75-906.0,0.9918797714257646
906.0-909.25,0.9917883609731235
909.25-912.5,0.9916855872231392
912.5-915.75,0.9923137289775928
915.75-919.0,0.9923251566998462
919.0-922.25,0.9924394110369936
922.25-925.5,0.9925650983582064
925.5-928.75,0.9920168054683727
928.75-932.0,0.9904533728458884
932.0-935.25,0.9890972627769511
935.25-938.5,0.9868341716460516
938.5-941.75,0.9829790956757213
941.75-945.0,0.9796456175453622
945.0-948.25,0.976583188076582
948.25-951.5,0.9734957464755949
951.5-954.75,0.9724986340549663
954.75-958.0,0.9730699438339878
958.0-961.25,0.9758186420885961
961.25-964.5,0.9791273762240017
964.5-967.75,0.9818361087475705
967.75-971.0,0.9844397310346914
971.0-974.25,0.986697593778465
974.25-977.5,0.9885052950325995
977.5-980.75,0.9894503641924762
980.75-984.0,0.9902708720910705
984.0-987.25,0.9906243524296922
987.25-990.5,0.9905445223974156
990.5-993.75,0.9905787464100524
993.75-997.0,0.989871909372985
997.0-1000.25,0.9892226533621304
1000.25-1003.5,0.9867885169789599
1003.5-1006.75,0.9845527736557439
1006.75-1010.0,0.9807760042277058
1010.0-1013.25,0.9701449837968045
1013.25-1016.5,0.9580077005726179
1016.5-1019.75,0.9457198085685092
1019.75-1023.0,0.9363952116166275
1023.0-1026.25,0.9364921581319459
1026.25-1029.5,0.9400241259126648
1029.5-1032.75,0.951545806385579
1032.75-1036.0,0.9672871218518821
1036.0-1039.25,0.9729465893641176
1039.25-1042.5,0.9761107234875114
1042.5-1045.75,0.9789244485567377
1045.75-1049.0,0.9812032996304739
1049.0-1052.25,0.9815987607040417
1052.25-1055.5,0.9811355394947181
1055.5-1058.75,0.9806160563674582
1058.75-1062.0,0.979781020846731
1062.0-1065.25,0.9797922554085879
1065.25-1068.5,0.9793749688511382
1068.5-1071.75,0.9793975709409302
1071.75-1075.0,0.9800968776511261
1075.0-1078.25,0.9800968649200105
1078.25-1081.5,0.9809548170130269
1081.5-1084.75,0.9824580624183517
1084.75-1088.0,0.9827295344636895
1088.0-1091.25,0.9825371949041428
1091.25-1094.5,0.9813276239196689
1094.5-1097.75,0.9803338676109041
1097.75-1101.0,0.9791494853915041
1101.0-1104.25,0.9772913577292863
1104.25-1107.5,0.9760094100308658
1107.5-1110.75,0.9761554874364553
1110.75-1114.0,0.9761330235641155
1114.0-1117.25,0.9766163724415099
1117.25-1120.5,0.9773924951484928
1120.5-1123.75,0.9783156489226766
1123.75-1127.0,0.9804020438384805
1127.0-1130.25,0.9827182016148293
1130.25-1133.5,0.984303527611794
1133.5-1136.75,0.9872887726340522
1136.75-1140.0,0.9894845102681564
1140.0-1143.25,0.9911263747973986
1143.25-1146.5,0.9914344379524891
1146.5-1149.75,0.9927136758583537
1149.75-1153.0,0.9923822779491611
1153.0-1156.25,0.992530817032018
1156.25-1159.5,0.9933310537325695
1159.5-1162.75,0.9933424609126495
1162.75-1166.0,0.9931709368899182
1166.0-1169.25,0.9931366358239486
1169.25-1172.5,0.9928851151199457
1172.5-1175.75,0.9917314116706311
1175.75-1179.0,0.9881984756486007
1179.0-1182.25,0.9867769583946123
1182.25-1185.5,0.9855281581638129
1185.5-1188.75,0.9841675825376284
1188.75-1192.0,0.9829671402906169
1192.0-1195.25,0.9822657983850951
1195.25-1198.5,0.9804355626462613
1198.5-1201.75,0.9790367631299997
1201.75-1205.0,0.9794991892327796
