bin_range,mean_transmittance
548.5-551.75,0.9980595399419072
551.75-555.0,0.9980490830997479
555.0-558.25,0.9983830523085984
558.25-561.5,0.9979726762993353
561.5-564.75,0.9979484317045342
564.75-568.0,0.9987770098867446
568.0-571.25,0.9980718573138398
571.25-574.5,0.9978519262014028
574.5-577.75,0.9974378628032172
577.75-581.0,0.9980370327708918
581.0-584.25,0.998122165130847
584.25-587.5,0.9979853143210837
587.5-590.75,0.9985076785984777
590.75-594.0,0.9987819840945364
594.0-597.25,0.9987539343808363
597.25-600.5,0.9984337740759435
600.5-603.75,0.9984016728234678
603.75-607.0,0.9985164008627367
607.0-610.25,0.9986164164537141
610.25-613.5,0.9983765022304187
613.5-616.75,0.9984793788297887
616.75-620.0,0.99870931445758
620.0-623.25,0.9988123423279722
623.25-626.5,0.998564908407685
626.5-629.75,0.9982582377706548
629.75-633.0,0.9980398909846229
633.0-636.25,0.99791074749267
636.25-639.5,0.9979153489957043
639.5-642.75,0.9982591555225883
642.75-646.0,0.9986044568183935
646.0-649.25,0.9985911288530409
649.25-652.5,0.998459491976577
652.5-655.75,0.9982515656247142
655.75-659.0,0.9981546861569568
659.0-662.25,0.997994525770237
662.25-665.5,0.9972667811466212
665.5-668.75,0.9967310785936959
668.75-672.0,0.9963754160479452
672.0-675.25,0.9957447088915393
675.25-678.5,0.9950112704303833
678.5-681.75,0.9944386673173684
681.75-685.0,0.9942783890690434
685.0-688.25,0.9941181432418912
688.25-691.5,0.993797729326358
691.5-694.75,0.9936833215107843
694.75-698.0,0.9938434961934539
698.0-701.25,0.9938663871358331
701.25-704.5,0.9939007429155736
704.5-707.75,0.9947821869937353
707.75-711.0,0.9952174930025481
711.0-714.25,0.9953893740348111
714.25-717.5,0.995423753565813
717.5-720.75,0.9948623950751817
720.75-724.0,0.9940609204955277
724.0-727.25,0.9938320779904724
727.25-730.5,0.9933173014203063
730.5-733.75,0.9931000446354801
733.75-737.0,0.9935346237751834
737.0-740.25,0.9941639251283959
740.25-743.5,0.9947134788403866
743.5-746.75,0.9955039975418116
746.75-750.0,0.9962492328937188
750.0-753.25,0.99687350428356
753.25-756.5,0.9972743522446557
756.5-759.75,0.9972990377297134
759.75-763.0,0.9975363960013539
763.0-766.25,0.997947305361312
766.25-769.5,0.9982609897618129
769.5-772.75,0.9977544038352733
772.75-776.0,0.9976263241485634
776.0-779.25,0.9975245663574637
779.25-782.5,0.9970669379088443
782.5-785.75,0.9955958056154488
785.75-789.0,0.993340338240632
789.0-792.25,0.9916490496286364
792.25-795.5,0.9909528815381399
795.5-798.75,0.9908388041159856
798.75-802.0,0.9915577195818388
802.0-805.25,0.9928372452596286
805.25-808.5,0.9947249961674138
808.5-811.75,0.9956759107667819
811.75-815.0,0.9954008462806399
815.0-818.25,0.9951029196308049
818.25-821.5,0.9951945751623471
821.5-824.75,0.9945875708860606
824.75-828.0,0.9935003259509011
828.0-831.25,0.9926313790735081
831.25-834.5,0.9922200530406506
834.5-837.75,0.9926313832837723
837.75-841.0,0.99283710602891
841.0-844.25,0.9939122562336684
844.25-847.5,0.9958135943973669
847.5-850.75,0.9974117114789935
850.75-854.0,0.9979799128992743
854.0-857.25,0.9979495842574949
857.25-860.5,0.9979201696237296
860.5-863.75,0.99822490269438
863.75-867.0,0.9981752759931164
867.0-870.25,0.997321218218242
870.25-873.5,0.9970131811509443
873.5-876.75,0.9971887040350486
876.75-880.0,0.9968253020690276
880.0-883.25,0.9967999327155045
883.25-886.5,0.9965360257338103
886.5-889.75,0.9963754081239242
889.75-893.0,0.9962262936714921
893.0-896.25,0.9958249539257881
896.25-899.5,0.9957790923801298
899.5-902.75,0.9956529847456324
902.75-906.0,0.9951602109333466
906.0-909.25,0.9948050940186657
909.25-912.5,0.995011274650742
912.5-915.75,0.9951258319308798
915.75-919.0,0.9949998166542917
919.0-922.25,0.9950800057479492
922.25-925.5,0.9948967221185082
925.5-928.75,0.9948738164122577
928.75-932.0,0.9950570937116467
932.0-935.25,0.9951945751623471
935.25-938.5,0.9950571063733062
938.5-941.75,0.9949883726375184
941.75-945.0,0.9952404066215153
945.0-948.25,0.9956988586961582
948.25-951.5,0.9962836507067598
951.5-954.75,0.9967540294391593
954.75-958.0,0.9972307275310175
958.0-961.25,0.9975481150279242
961.25-964.5,0.9978379107080653
964.5-967.75,0.9976780100890765
967.75-971.0,0.997512852416697
971.0-974.25,0.9975659119576692
974.25-977.5,0.9973511665979289
977.5-980.75,0.9969012862125688
980.75-984.0,0.9963065912496964
984.0-987.25,0.9959739970847943
987.25-990.5,0.9952518997084328
990.5-993.75,0.9948738206320336
993.75-997.0,0.9949425398607208
997.0-1000.25,0.9946218694625866
1000.25-1003.5,0.9956186157728787
1003.5-1006.75,0.9961574791738964
1006.75-1010.0,0.9968001646312986
1010.0-1013.25,0.9971300800331513
1013.25-1016.5,0.9976359715099794
1016.5-1019.75,0.997630688172311
1019.75-1023.0,0.9979625688076279
1023.0-1026.25,0.9982553586983514
1026.25-1029.5,0.9979642870726464
1029.5-1032.75,0.9982019196218581
1032.75-1036.0,0.998053564391579
1036.0-1039.25,0.9980821761867301
1039.25-1042.5,0.9986437897471858
1042.5-1045.75,0.9981393060608144
1045.75-1049.0,0.9977924191265004
1049.0-1052.25,0.9973759973322189
1052.25-1055.5,0.9965475037982109
1055.5-1058.75,0.9959510642000328
1058.75-1062.0,0.9951831894517795
1062.0-1065.25,0.9943470832486783
1065.25-1068.5,0.99402658579364
1068.5-1071.75,0.9941181435054267
1071.75-1075.0,0.994713493607221
1075.0-1078.25,0.9956071342869771
1078.25-1081.5,0.9966578045362494
1081.5-1084.75,0.997394456464255
1084.75-1088.0,0.9982001956041847
1088.0-1091.25,0.9980210467596636
1091.25-1094.5,0.9983216876330652
1094.5-1097.75,0.9982162933898647
1097.75-1101.0,0.998749327745207
1101.0-1104.25,0.9984622658707429
1104.25-1107.5,0.9992339245075397
1107.5-1110.75,0.999323729273874
1110.75-1114.0,0.9987102097612066
1114.0-1117.25,0.9980418458200733
1117.25-1120.5,0.9977809316828765
1120.5-1123.75,0.9975540817744495
1123.75-1127.0,0.9971468003803154
1127.0-1130.25,0.9971406010691959
1130.25-1133.5,0.9962836507067598
1133.5-1136.75,0.9962492328937188
1136.75-1140.0,0.9961116054829485
1140.0-1143.25,0.9966443624323134
1143.25-1146.5,0.9968516925388117
1146.5-1149.75,0.9973524556577364
1149.75-1153.0,0.998014842102312
1153.0-1156.25,0.9980372536506908
1156.25-1159.5,0.998043456538352
1159.5-1162.75,0.9978110290658424
1162.75-1166.0,0.9972892922146831
1166.0-1169.25,0.9973773492133666
1169.25-1172.5,0.9969945860920759
1172.5-1175.75,0.9961230975396942
1175.75-1179.0,0.9957676203944454
1179.0-1182.25,0.9954925173776888
1182.25-1185.5,0.9952518727971402
1185.5-1188.75,0.9950800321270135
1188.75-1192.0,0.9951487458137472
1192.0-1195.25,0.9945875091896008
1195.25-1198.5,0.9939122362091082
1198.5-1201.75,0.9928599672113093
1201.75-1205.0,0.9930085888505031
1205.0-1208.25,0.9934774247407497
1208.25-1211.5,0.9946906200703425
1211.5-1214.75,0.9953549945038092
1214.75-1218.0,0.9956071556653376
1218.0-1221.25,0.9972062191739857
1221.25-1224.5,0.9978788089394672
1224.5-1227.75,0.9980898757477501
1227.75-1231.0,0.9986134596015187
1231.0-1234.25,0.998760136418668
1234.25-1237.5,0.9986068716842098
1237.5-1240.75,0.9983039759385692
1240.75-1244.0,0.998174107185863
1244.0-1247.25,0.9976755018804985
1247.25-1250.5,0.9970531488173153
1250.5-1253.75,0.9966851784881272
1253.75-1257.0,0.9962492923163537
1257.0-1260.25,0.9955154399678039
1260.25-1263.5,0.9956300616277961
1263.5-1266.75,0.9958364076966296
1266.75-1270.0,0.9962607106920425
1270.0-1273.25,0.9964671824449861
1273.25-1276.5,0.9964786541690624
1276.5-1279.75,0.9966392807604918
1279.75-1283.0,0.9967310785936959
1283.0-1286.25,0.9965474908534075
1286.25-1289.5,0.9963410016678842
1289.5-1292.75,0.9959969328739142
1292.75-1296.0,0.9956988373158279
1296.0-1299.25,0.9950342080531938
1299.25-1302.5,0.9943127387945694
1302.5-1305.75,0.99402658579364
1305.75-1309.0,0.9937634104328114
1309.0-1312.25,0.9936604413701698
1312.25-1315.5,0.9937290823188174
1315.5-1318.75,0.9935918072700038
1318.75-1322.0,0.9930314618789129
1322.0-1325.25,0.9917975420633034
1325.25-1328.5,0.9907133153019018
1328.5-1331.75,0.9892545724773352
1331.75-1335.0,0.9865478380891632
1335.0-1338.25,0.98368941911338
1338.25-1341.5,0.9799151157229862
1341.5-1344.75,0.973461281618578
1344.75-1348.0,0.9685409779799882
1348.0-1351.25,0.96506861805194
1351.25-1354.5,0.963369741460081
1354.5-1357.75,0.964646071528244
1357.75-1361.0,0.968899552592876
1361.0-1364.25,0.9770662861483683
1364.25-1367.5,0.9829648769277383
1367.5-1370.75,0.9873664384605412
1370.75-1374.0,0.9912725661246256
1374.0-1377.25,0.9927685256400166
1377.25-1380.5,0.9936833523309696
1380.5-1383.75,0.9944272198690092
1383.75-1387.0,0.9948738182584096
1387.0-1390.25,0.9951029185756178
1390.25-1393.5,0.9950456391442926
1393.5-1396.75,0.9948852680785711
1396.75-1400.0,0.994873814038634
1400.0-1403.25,0.9947936405061947
1403.25-1406.5,0.9946676650545474
1406.5-1409.75,0.9948509064862315
1409.75-1413.0,0.9952518759631743
1413.0-1416.25,0.9959281487403051
1416.25-1419.5,0.9965245447636161
1419.5-1422.75,0.9969354767043432
1422.75-1426.0,0.9973142007904405
1426.0-1429.25,0.9976295395339081
1429.25-1432.5,0.997737855198592
1432.5-1435.75,0.9977313080981018
1435.75-1439.0,0.9975594796234151
1439.0-1442.25,0.997367243971724
1442.25-1445.5,0.9972525374166104
1445.5-1448.75,0.9972419752065509
1448.75-1452.0,0.9972684965309313
1452.0-1455.25,0.9972660860222984
1455.25-1458.5,0.9975305384255984
1458.5-1461.75,0.9973817103284697
1461.75-1465.0,0.997303401486133
1465.0-1468.25,0.997100881105037
1468.25-1471.5,0.9970804476552823
1471.5-1474.75,0.9969090782486596
1474.75-1478.0,0.996490134610551
1478.0-1481.25,0.9961345420643523
1481.25-1484.5,0.9959166690971204
1484.5-1487.75,0.9956415225268795
1487.75-1491.0,0.9954695955792796
1491.0-1494.25,0.9952976995072688
1494.25-1497.5,0.9954695966348555
1497.5-1500.75,0.9954237538296948
1500.75-1504.0,0.9953779136634008
1504.0-1507.25,0.9953664540836049
1507.25-1510.5,0.994919657100679
1510.5-1513.75,0.9942097091232834
1513.75-1517.0,0.9933859642233186
1517.0-1520.25,0.9916491886927472
1520.25-1523.5,0.989846837783171
1523.5-1526.75,0.9875592516253688
1526.75-1530.0,0.9837578545171766
1530.0-1533.25,0.9808622040140074
1533.25-1536.5,0.9780322590497629
1536.5-1539.75,0.9753221027620419
1539.75-1543.0,0.9738633005120703
1543.0-1546.25,0.9733925096901573
1546.25-1549.5,0.9741437115501873
1549.5-1552.75,0.9753219538355785
1552.75-1556.0,0.9768504710498325
1556.0-1559.25,0.9796662373502399
1559.25-1562.5,0.9822522759521954
1562.5-1565.75,0.9834629423292253
1565.75-1569.0,0.9843238827518443
1569.0-1572.25,0.9855939284742032
1572.25-1575.5,0.9866610861646501
1575.5-1578.75,0.9877522314028353
1578.75-1582.0,0.9887876085716278
1582.0-1585.25,0.9895733707770108
1585.25-1588.5,0.9903484280591374
1588.5-1591.75,0.9914435951344752
1591.75-1595.0,0.992128670404917
1595.0-1598.25,0.9926999594620742
1598.25-1601.5,0.9931000430558855
1601.5-1604.75,0.9934316678841861
1604.75-1608.0,0.9938549415328726
1608.0-1611.25,0.9940723637271951
1611.25-1614.5,0.9940952530892517
1614.5-1617.75,0.9942440517318536
1617.75-1621.0,0.9943699697103016
1621.0-1624.25,0.9945073588613254
1624.25-1627.5,0.9947592815510998
1627.5-1630.75,0.9953435589353221
1630.75-1634.0,0.9962951448804331
1634.0-1637.25,0.9969856330392761
1637.25-1640.5,0.9973759795485376
1640.5-1643.75,0.9979731373614551
1643.75-1647.0,0.9981474463244152
1647.0-1650.25,0.9982730583447157
1650.25-1653.5,0.9983477691218428
1653.5-1656.75,0.9983823622098258
1656.75-1660.0,0.9984617917103819
1660.0-1663.25,0.9985979049646593
1663.25-1666.5,0.9986614828656434
1666.5-1669.75,0.9987363374926395
1669.75-1673.0,0.9988613297041954
1673.0-1676.25,0.9988955997132536
