,y_values
400.625,0.9988685885742604
403.875,0.9988677975498451
407.125,0.9986408352417164
410.375,0.9983691529183929
413.625,0.9981646151375312
416.875,0.9981467132876742
420.125,0.9980395876133922
423.375,0.9975163572863055
426.625,0.9970352755973756
429.875,0.9969485539031275
433.125,0.9970021482010769
436.375,0.9974715623918841
439.625,0.9974919774310254
442.875,0.9974615794406287
446.125,0.9978041414540869
449.375,0.9979885897716223
452.625,0.9977904098623399
455.875,0.9977734659760851
459.125,0.9978221739287491
462.375,0.9979341878402006
465.625,0.9977806179667114
468.875,0.9974886017327566
472.125,0.997040023059486
475.375,0.9965051702873363
478.625,0.9960697040512275
481.875,0.9956504008393755
485.125,0.9952869301987058
488.375,0.9952926590879128
491.625,0.9953633230274092
494.875,0.9952705678773636
498.125,0.994773072307704
501.375,0.994416453351084
504.625,0.9943134180855367
507.875,0.9938802650450204
511.125,0.9901521061219635
514.375,0.9889200005348863
517.625,0.9899807015422577
520.875,0.9925293783663158
524.125,0.9936039361555311
527.375,0.9932167965829594
530.625,0.9905432919865588
533.875,0.989050123093256
537.125,0.9889210775327784
540.375,0.9893006680389794
543.625,0.9890539403606043
546.875,0.9874801837741938
550.125,0.9834386774090618
553.375,0.9747404484386649
556.625,0.956878415418475
559.875,0.9305667601803128
563.125,0.869554022367375
566.375,0.7171575247170047
569.625,0.5748358252930343
572.875,0.6561927211435857
576.125,0.8132861999013699
579.375,0.8991509538070316
582.625,0.9397353461736799
585.875,0.9618430544614993
589.125,0.9761226074182738
592.375,0.9838452591501674
595.625,0.9876712535197871
598.875,0.9892835975611143
602.125,0.9898566466696191
605.375,0.9901837683229036
608.625,0.9906455793733381
611.875,0.9912159958572462
615.125,0.9908464053170277
618.375,0.9869081999237415
621.625,0.9761996014444968
624.875,0.9730579314984303
628.125,0.9791043476748544
631.375,0.984715481763927
634.625,0.9883503359521806
637.875,0.9902522290904191
641.125,0.9911589485706256
644.375,0.991330123276233
647.625,0.9906969243187381
650.875,0.9895342269028187
654.125,0.9883387537778625
657.375,0.9867187673761021
660.625,0.9817926781036284
663.875,0.9601507206989124
667.125,0.9368634451996855
670.375,0.943957151691644
673.625,0.9566122378770817
676.875,0.9504957085229773
680.125,0.9366527881814629
683.375,0.9240583192710956
686.625,0.9229082888043117
689.875,0.9295867600553758
693.125,0.9362142733847097
696.375,0.940560110509636
699.625,0.94894268464457
702.875,0.959533497849005
706.125,0.9655359057834958
709.375,0.9659730941994397
712.625,0.9594804828770256
715.875,0.9453194590526474
719.125,0.9343561984978068
722.375,0.9332297652196017
725.625,0.9384556638538569
728.875,0.9377540050552433
732.125,0.9276241320204988
735.375,0.912163960818619
738.625,0.8997801041184266
741.875,0.8978052138379561
745.125,0.9073367230148772
748.375,0.9219531905274995
751.625,0.9334751675380838
754.875,0.9372058405823323
758.125,0.9327878982399378
761.375,0.9208088943973037
764.625,0.9036656645357425
767.875,0.8885549329997359
771.125,0.8822162047007599
774.375,0.8833614148182549
777.625,0.8867922711532521
780.875,0.8862758354154742
784.125,0.8754409280027818
787.375,0.8611445317246843
790.625,0.8444591929493495
793.875,0.8209218506994486
797.125,0.803674945468327
800.375,0.798506406860963
803.625,0.8066264764716675
806.875,0.817541051546717
810.125,0.8260134070260613
813.375,0.8331988239329966
816.625,0.8368772419982035
819.875,0.8359467687405233
823.125,0.8270777852258094
826.375,0.8120872234062159
829.625,0.7907840640464773
832.875,0.766096355171223
836.125,0.7394908091487359
839.375,0.7102805660055491
842.625,0.6823253310530583
845.875,0.6350847572052836
849.125,0.5812668354320127
852.375,0.5565666482243321
855.625,0.5723840199536054
858.875,0.630717000299289
862.125,0.6924470023870345
865.375,0.7632316910420194
868.625,0.8183218855092362
871.875,0.8491448223418316
875.125,0.8719262234621175
878.375,0.888395868295107
881.625,0.9014418609621734
884.875,0.9082355427945453
888.125,0.9099097147389676
891.375,0.9069194182367469
894.625,0.8995287655559474
897.875,0.8872723079887719
901.125,0.8718619919315763
904.375,0.8568444515907869
907.625,0.8440064604137718
910.875,0.8348799427613369
914.125,0.8323448854081636
917.375,0.8361980903658057
920.625,0.8451633468942684
923.875,0.8569509754580327
927.125,0.8690219659511644
930.375,0.8803296955535107
933.625,0.8890660522777674
936.875,0.8942903482871274
940.125,0.8962275709200295
943.375,0.8952788844008199
946.625,0.8941251313299292
949.875,0.8951656921576605
953.125,0.899806431707296
956.375,0.9059167716000005
959.625,0.9123138413326222
962.875,0.9178324332276973
966.125,0.9198001019627358
969.375,0.9245571871119571
972.625,0.9285778073836738
975.875,0.934532372353007
979.125,0.9384439019183903
982.375,0.9348648193752503
985.625,0.9297331153726277
988.875,0.924409077953964
992.125,0.9140725925821731
995.375,0.9032122022784745
998.625,0.8971773481029398
1001.875,0.8940942892798032
1005.125,0.8996539200853189
1008.375,0.9102449957633332
1011.625,0.9234715561532096
1014.875,0.9412880476529201
1018.125,0.9527924344107368
1021.375,0.9619668337534696
1024.625,0.9690770308370257
1027.875,0.9735510475026066
1031.125,0.9781681062360821
1034.375,0.9807499620576735
1037.625,0.9826828593571992
1040.875,0.9843018469062709
1044.125,0.9850841134724735
1047.375,0.9860258483945242
1050.625,0.9865027494544478
1053.875,0.9863664684771151
1057.125,0.9861734506915215
1060.375,0.9854584096272441
1063.625,0.9844492391492718
