x,y
14.0,0.18
18.0,0.59
27.0,2.37
28.0,3.81
29.0,0.85
30.0,1.14
39.0,2.26
40.0,0.47
41.0,4.35
42.0,3.44
43.0,4.74
44.0,28.22
45.0,0.7
50.0,0.42
51.0,1.52
52.0,1.16
53.0,0.81
54.0,0.63
55.0,0.85
56.0,4.62
57.0,1.34
58.0,0.76
63.0,0.74
64.0,0.5
65.0,2.79
66.0,0.26
67.0,0.22
68.0,0.44
70.0,2.14
76.0,0.41
77.0,4.17
78.0,1.93
79.0,1.81
80.0,0.42
84.0,1.89
86.0,99.99
87.0,5.5
89.0,0.78
90.0,0.4
91.0,3.64
92.0,0.52
93.0,0.3
96.0,0.48
104.0,1.31
105.0,0.65
106.0,4.35
107.0,4.56
108.0,0.63
117.0,0.36
118.0,0.78
119.0,0.43
120.0,1.18
132.0,0.41
133.0,0.33
134.0,1.16
146.0,0.54
220.0,0.87
221.0,0.17
