x,y
26.0,0.23
27.0,2.19
29.0,2.49
38.0,0.89
39.0,6.99
40.0,0.86
41.0,1.98
44.0,0.82
50.0,4.34
51.0,6.18
52.0,2.83
53.0,1.35
62.0,1.95
63.0,4.34
64.0,1.65
65.0,15.39
75.0,4.09
76.0,8.17
77.0,3.58
78.0,0.69
87.0,0.72
88.0,1.21
89.0,3.08
90.0,0.69
91.0,99.99
92.0,7.28
101.0,1.19
102.0,14.46
103.0,5.22
104.0,0.69
105.0,1.45
114.0,2.62
115.0,1.03
130.0,24.62
131.0,8.1
132.0,0.98
158.0,55.84
159.0,9.13
165.0,1.45
176.0,3.08
190.0,0.75
194.0,0.92
204.0,73.82
205.0,8.74
206.0,1.18
220.0,0.92
221.0,0.86
222.0,2.69
223.0,0.87
248.0,0.67
249.0,6.9
250.0,7.17
251.0,1.47
295.0,84.05
296.0,17.0
297.0,1.64
