x,y
14.0,0.77
15.0,3.19
18.0,0.2
26.0,4.5
27.0,24.73
29.0,0.94
32.0,3.49
33.0,0.83
36.0,0.38
37.0,3.69
38.0,8.37
39.0,39.57
40.0,3.9
41.0,4.67
44.0,4.54
45.0,12.2
46.0,0.97
47.0,0.63
49.0,2.19
50.0,21.27
51.0,41.23
52.0,12.43
53.0,10.63
54.0,1.49
55.0,0.46
56.0,0.52
57.0,1.46
58.0,4.52
59.0,5.13
60.0,1.88
61.0,3.79
62.0,9.15
63.0,21.03
64.0,8.49
65.0,12.82
66.0,2.71
67.0,3.1
69.0,2.86
70.0,6.49
71.0,1.57
72.0,1.95
73.0,1.58
74.0,6.37
75.0,7.98
76.0,8.54
77.0,51.36
78.0,22.64
79.0,15.09
80.0,3.09
81.0,1.57
82.0,6.3
83.0,2.67
84.0,2.66
85.0,1.15
86.0,2.08
87.0,1.93
88.0,1.56
89.0,8.73
90.0,3.77
91.0,8.62
92.0,2.12
93.0,0.97
94.0,0.77
95.0,1.21
96.0,1.9
97.0,0.62
98.0,0.92
99.0,0.71
100.0,0.74
101.0,1.8
102.0,7.1
103.0,22.14
104.0,10.41
105.0,30.74
106.0,2.86
107.0,0.97
108.0,0.96
109.0,0.91
110.0,0.57
114.0,0.37
116.0,4.17
117.0,2.85
118.0,6.04
119.0,1.19
120.0,0.86
121.0,4.75
122.0,1.28
123.0,0.71
128.0,3.33
130.0,79.13
131.0,15.49
132.0,1.77
133.0,0.69
134.0,2.5
135.0,7.44
136.0,2.43
137.0,0.56
146.0,0.73
148.0,24.82
149.0,2.77
150.0,1.6
160.0,0.61
162.0,27.43
163.0,99.99
164.0,12.44
165.0,5.59
166.0,0.78
