x,y
14.0,0.1
15.0,1.89
16.0,0.1
25.0,0.1
26.0,2.29
27.0,25.19
28.0,6.09
29.0,0.99
30.0,1.69
32.0,0.1
37.0,0.2
38.0,0.5
39.0,3.89
40.0,1.29
41.0,11.39
42.0,9.49
43.0,17.59
44.0,91.99
45.0,2.99
46.0,0.2
48.0,0.2
49.0,0.3
51.0,0.1
52.0,0.4
53.0,1.09
54.0,2.19
55.0,99.99
56.0,5.29
57.0,2.69
58.0,17.89
59.0,0.9
67.0,0.2
68.0,0.3
69.0,1.09
70.0,3.29
71.0,0.99
72.0,5.29
73.0,0.2
80.0,0.1
81.0,0.2
82.0,0.1
83.0,0.1
84.0,4.39
85.0,3.69
86.0,0.8
94.0,0.1
95.0,0.2
96.0,0.7
97.0,0.1
98.0,58.39
99.0,3.49
100.0,0.3
112.0,3.19
113.0,13.89
114.0,3.39
115.0,0.3
