x,y
14.0,1.0
15.0,6.4
17.0,0.5
18.0,0.7
19.0,0.8
25.0,0.7
26.0,7.6
27.0,31.9
28.0,17.8
29.0,17.8
30.0,1.0
31.0,5.7
32.0,0.6
37.0,1.8
38.0,4.6
39.0,37.2
40.0,7.2
41.0,30.6
42.0,14.1
43.0,7.2
44.0,1.5
45.0,0.9
47.0,0.5
48.0,1.0
49.0,0.8
50.0,5.2
51.0,8.9
52.0,3.7
53.0,13.0
54.0,5.0
55.0,31.9
56.0,8.2
57.0,7.8
58.0,2.5
61.0,0.7
62.0,1.5
63.0,2.9
64.0,0.9
65.0,4.7
66.0,2.7
67.0,9.2
68.0,3.3
69.0,8.5
70.0,99.99
71.0,9.4
72.0,1.4
74.0,1.7
75.0,3.8
76.0,0.8
77.0,9.0
78.0,3.1
79.0,13.2
80.0,2.8
81.0,3.6
82.0,2.4
83.0,21.7
84.0,3.4
85.0,0.6
89.0,0.5
91.0,3.1
92.0,0.9
93.0,3.6
94.0,1.2
95.0,3.8
96.0,3.0
97.0,77.59
98.0,9.6
99.0,1.0
105.0,0.8
106.0,0.6
107.0,0.9
108.0,3.4
109.0,1.3
110.0,0.5
111.0,3.4
112.0,0.6
125.0,2.0
126.0,28.0
127.0,2.9
128.0,0.6
