x,y
15.0,0.3
26.0,0.7
27.0,7.11
29.0,6.21
30.0,0.1
31.0,0.1
36.0,0.1
37.0,0.3
38.0,1.3
39.0,13.71
40.0,1.4
41.0,18.22
42.0,1.5
43.0,1.8
44.0,0.2
45.0,0.2
49.0,0.4
50.0,3.3
51.0,11.31
52.0,2.6
53.0,7.01
54.0,1.7
55.0,7.51
56.0,1.7
57.0,0.8
58.0,0.7
59.0,0.2
61.0,0.7
62.0,2.4
63.0,9.71
64.0,2.7
65.0,9.61
66.0,2.2
67.0,4.7
68.0,0.7
69.0,13.41
70.0,1.0
71.0,0.2
72.0,1.0
73.0,3.2
74.0,2.1
75.0,6.21
76.0,2.3
77.0,27.62
78.0,5.71
79.0,5.71
80.0,0.6
81.0,4.9
82.0,2.1
83.0,0.3
84.0,0.2
85.0,0.7
86.0,0.9
87.0,1.7
88.0,0.8
89.0,11.71
90.0,3.0
91.0,29.03
92.0,2.5
93.0,0.5
94.0,0.3
95.0,0.4
96.0,0.1
97.0,0.5
98.0,0.5
99.0,4.3
100.0,1.0
101.0,4.9
102.0,5.5
103.0,11.61
104.0,2.5
105.0,4.3
106.0,1.1
107.0,30.13
108.0,2.4
109.0,0.3
110.0,0.2
111.0,1.6
112.0,2.3
113.0,4.8
114.0,2.5
115.0,12.11
116.0,2.8
117.0,2.9
118.0,1.6
119.0,4.3
120.0,1.2
121.0,1.1
122.0,0.1
123.0,0.5
124.0,0.6
125.0,9.81
126.0,3.7
127.0,8.51
128.0,15.71
129.0,3.5
130.0,4.1
131.0,16.51
132.0,32.03
133.0,14.81
134.0,1.4
135.0,0.3
136.0,0.4
137.0,0.4
138.0,0.4
139.0,3.3
140.0,1.9
141.0,99.99
142.0,18.52
143.0,33.33
144.0,6.51
145.0,4.9
146.0,4.4
147.0,1.5
148.0,0.1
149.0,1.0
150.0,0.2
151.0,0.7
152.0,2.0
153.0,6.71
154.0,72.27
155.0,10.81
156.0,23.82
157.0,3.1
158.0,0.5
159.0,0.5
160.0,0.2
162.0,0.2
163.0,0.2
164.0,0.1
165.0,3.5
166.0,0.8
167.0,39.74
168.0,6.31
169.0,12.51
170.0,1.9
171.0,0.2
173.0,0.1
174.0,0.2
175.0,7.71
176.0,1.0
177.0,0.2
178.0,0.1
179.0,0.6
180.0,0.2
181.0,6.81
182.0,1.1
183.0,2.0
184.0,0.3
193.0,0.1
195.0,0.3
208.0,0.1
210.0,50.75
211.0,6.81
212.0,16.61
213.0,2.0
214.0,0.1
