x,y
14.0,0.1
16.0,0.1
18.0,0.1
25.0,0.2
26.0,0.6
27.0,1.29
28.0,1.09
29.0,0.2
30.0,0.1
35.0,0.3
36.0,0.9
37.0,3.99
38.0,6.49
39.0,4.79
40.0,0.2
41.0,0.2
42.0,0.1
43.0,0.1
44.0,0.9
45.0,3.49
46.0,0.7
47.0,0.3
48.0,0.3
49.0,2.69
50.0,19.69
51.0,10.59
52.0,0.9
53.0,1.19
54.0,0.2
55.0,2.19
56.0,0.7
60.0,0.8
61.0,1.59
62.0,0.9
63.0,2.29
64.0,3.09
65.0,4.19
66.0,0.5
67.0,0.1
69.0,2.69
70.0,0.9
71.0,0.1
72.0,0.7
73.0,3.09
74.0,10.29
75.0,25.89
76.0,15.39
77.0,9.39
78.0,0.9
79.0,0.3
84.0,1.79
85.0,3.39
86.0,0.9
87.0,1.19
88.0,0.1
89.0,0.1
91.0,0.4
92.0,1.19
93.0,0.7
99.0,0.6
100.0,0.2
101.0,0.3
102.0,0.1
104.0,0.3
105.0,0.7
108.0,0.2
109.0,0.2
110.0,1.29
111.0,36.59
112.0,3.99
113.0,11.89
114.0,1.29
121.0,1.19
122.0,0.7
124.0,0.1
126.0,0.1
128.0,2.89
129.0,0.2
130.0,0.9
138.0,0.4
139.0,99.99
140.0,7.79
141.0,31.89
142.0,2.49
143.0,0.1
155.0,0.2
156.0,70.79
157.0,5.59
158.0,22.99
159.0,1.79
160.0,0.1
