x,y
42.0,2.9
44.0,0.1
45.0,5.4
46.0,0.2
50.0,1.2
51.0,3.0
52.0,1.0
53.0,1.4
54.0,1.0
58.0,1.2
59.0,0.7
62.0,1.9
63.0,4.3
64.0,1.7
65.0,3.2
66.0,5.0
67.0,0.7
69.0,3.6
70.0,1.0
71.0,2.6
72.0,1.3
73.0,4.2
74.0,2.8
75.0,5.1
76.0,2.2
77.0,4.0
78.0,1.7
79.0,2.2
80.0,1.0
81.0,0.5
82.0,0.9
83.0,2.2
84.0,1.4
85.0,1.4
86.0,1.4
87.0,2.0
88.0,1.2
89.0,5.7
90.0,2.1
91.0,2.5
92.0,2.1
93.0,1.9
94.0,0.7
95.0,0.7
96.0,1.2
97.0,3.5
98.0,1.2
99.0,3.4
100.0,0.5
101.0,1.4
102.0,1.7
103.0,0.9
104.0,0.5
105.0,1.1
106.0,2.9
108.0,0.9
109.0,1.2
110.0,2.1
111.0,3.3
112.0,3.2
113.0,4.6
114.0,3.0
115.0,2.4
116.0,2.2
117.0,1.1
118.0,0.6
120.0,10.0
121.0,0.4
122.0,1.1
123.0,8.3
125.0,6.4
126.0,3.0
127.0,5.0
128.0,2.3
129.0,0.4
131.0,2.2
132.0,0.7
134.0,1.6
136.0,0.5
137.0,1.7
138.0,3.3
139.0,3.4
140.0,4.4
141.0,1.2
142.0,0.1
144.0,0.4
145.0,2.3
146.0,0.9
147.0,0.2
148.0,0.2
149.0,3.2
150.0,2.7
151.0,3.4
152.0,7.0
153.0,3.2
154.0,1.4
155.0,1.6
156.0,0.3
157.0,0.5
164.0,1.0
165.0,1.4
166.0,7.0
167.0,2.7
168.0,0.8
170.0,0.5
171.0,1.6
172.0,0.3
173.0,0.3
178.0,1.9
179.0,2.4
180.0,1.3
181.0,1.7
182.0,0.6
183.0,0.2
184.0,1.8
185.0,0.9
186.0,0.6
187.0,0.4
196.0,1.2
197.0,0.8
198.0,2.4
199.0,1.2
200.0,0.2
201.0,0.5
202.0,1.0
203.0,0.2
204.0,0.2
205.0,0.6
206.0,0.5
212.0,3.3
213.0,4.1
214.0,0.9
215.0,0.4
224.0,1.6
225.0,2.8
226.0,1.1
227.0,0.7
228.0,3.3
229.0,0.9
231.0,0.1
232.0,5.4
233.0,1.0
234.0,2.3
235.0,0.2
239.0,4.0
240.0,2.4
241.0,0.1
248.0,2.0
249.0,0.5
250.0,0.4
253.0,1.6
254.0,0.5
255.0,2.8
256.0,0.5
259.0,1.0
260.0,1.4
261.0,0.3
262.0,2.9
263.0,0.6
264.0,0.6
266.0,0.1
267.0,0.3
268.0,2.2
269.0,0.2
273.0,0.1
274.0,5.5
275.0,21.21
276.0,5.4
277.0,7.4
278.0,1.0
283.0,15.81
284.0,1.6
285.0,0.9
289.0,99.99
290.0,24.22
291.0,39.53
292.0,8.5
293.0,2.2
294.0,0.3
303.0,4.0
304.0,0.5
305.0,1.0
306.0,0.3
316.0,0.1
317.0,15.81
318.0,76.76
319.0,19.41
320.0,30.02
321.0,5.1
322.0,1.4
323.0,0.2
