x,y
13.0,0.1
14.0,0.6
15.0,3.89
18.0,0.1
26.0,0.3
27.0,0.4
28.0,0.8
29.0,0.1
36.0,0.3
37.0,1.39
38.0,2.39
39.0,4.49
40.0,0.7
41.0,0.9
42.0,1.29
43.0,35.59
44.0,0.9
45.0,0.3
47.0,0.2
48.0,0.1
49.0,0.5
50.0,1.59
51.0,1.29
52.0,2.39
53.0,0.2
54.0,0.2
60.0,0.2
61.0,0.99
62.0,1.69
63.0,6.09
64.0,4.79
65.0,7.89
66.0,0.9
67.0,0.2
72.0,0.3
73.0,3.09
74.0,0.99
75.0,2.09
76.0,0.5
77.0,1.19
78.0,0.4
79.0,0.1
84.0,0.2
85.0,0.3
86.0,0.1
87.0,0.2
88.0,0.3
89.0,0.4
90.0,2.69
91.0,4.79
92.0,8.39
93.0,0.99
97.0,0.2
98.0,0.2
99.0,6.19
100.0,2.89
101.0,2.19
102.0,0.99
103.0,0.1
104.0,0.3
105.0,0.2
106.0,0.2
110.0,0.1
111.0,0.6
112.0,0.1
113.0,0.2
125.0,0.5
126.0,1.39
127.0,99.99
128.0,8.09
129.0,32.69
130.0,2.29
133.0,0.4
134.0,26.69
135.0,2.59
136.0,0.1
138.0,0.1
140.0,0.6
142.0,0.2
151.0,0.1
153.0,0.3
154.0,0.3
155.0,0.2
156.0,0.1
169.0,11.49
170.0,1.29
171.0,3.79
172.0,0.4
