x,y
40.0,0.4
41.0,0.8
42.0,2.2
50.0,2.9
51.0,4.7
52.0,2.0
53.0,0.8
54.0,0.6
61.0,0.6
62.0,2.3
63.0,6.01
64.0,3.1
65.0,9.21
74.0,2.2
75.0,2.5
77.0,9.31
86.0,1.1
87.0,1.5
88.0,0.9
89.0,3.2
90.0,0.8
91.0,0.6
98.0,0.8
99.0,0.6
100.0,0.6
101.0,1.5
102.0,3.1
103.0,1.7
104.0,0.6
113.0,1.8
114.0,1.9
115.0,7.81
116.0,3.4
117.0,0.8
126.0,2.7
127.0,10.11
128.0,17.62
129.0,18.72
130.0,4.7
131.0,0.6
138.0,0.4
139.0,12.71
140.0,8.11
141.0,5.3
142.0,0.8
153.0,0.6
154.0,2.8
155.0,0.9
156.0,43.04
157.0,99.99
158.0,11.81
159.0,0.8
