x,y
14.0,0.4
15.0,0.6
16.0,0.4
17.0,0.2
18.0,0.7
19.0,0.1
26.0,1.09
27.0,7.69
28.0,3.09
29.0,19.99
30.0,0.6
31.0,1.09
32.0,0.1
36.0,0.2
38.0,0.3
39.0,4.19
40.0,1.49
41.0,18.49
42.0,5.19
43.0,20.69
44.0,5.89
45.0,6.39
46.0,0.3
47.0,0.2
48.0,0.2
50.0,0.2
51.0,0.6
52.0,0.2
53.0,1.29
54.0,1.59
55.0,15.19
56.0,3.89
57.0,13.09
58.0,0.7
59.0,1.09
60.0,11.99
61.0,13.79
62.0,0.4
63.0,0.3
64.0,0.3
65.0,0.3
66.0,0.4
67.0,2.69
68.0,2.99
69.0,9.59
70.0,12.79
71.0,5.19
72.0,0.6
73.0,16.19
74.0,2.69
75.0,0.7
77.0,0.6
78.0,0.4
79.0,0.8
80.0,0.3
81.0,2.09
82.0,0.99
83.0,5.69
84.0,3.69
85.0,3.39
86.0,0.8
87.0,2.79
88.0,99.99
89.0,11.19
90.0,0.99
91.0,0.6
92.0,0.3
93.0,0.5
94.0,0.2
95.0,1.99
96.0,0.8
97.0,4.29
98.0,3.89
99.0,0.9
100.0,0.2
101.0,46.69
102.0,3.99
103.0,0.5
104.0,0.2
105.0,0.5
106.0,1.19
107.0,0.5
108.0,0.2
109.0,0.99
110.0,0.5
111.0,1.39
112.0,0.9
113.0,0.6
114.0,0.2
115.0,5.49
116.0,0.8
117.0,0.2
119.0,0.2
120.0,0.5
121.0,0.8
123.0,0.5
124.0,0.2
125.0,0.8
126.0,0.4
127.0,0.2
128.0,0.2
129.0,3.49
130.0,0.99
131.0,0.2
134.0,0.1
135.0,0.5
136.0,0.2
137.0,0.3
138.0,0.4
139.0,0.4
140.0,0.5
141.0,0.2
143.0,5.59
144.0,1.09
147.0,0.1
149.0,0.3
150.0,0.2
153.0,0.4
155.0,0.4
157.0,9.59
158.0,1.09
159.0,0.2
163.0,0.5
164.0,0.1
165.0,0.2
167.0,0.2
171.0,1.79
172.0,0.4
181.0,0.5
182.0,0.3
183.0,13.19
184.0,1.79
185.0,7.29
186.0,1.29
199.0,2.59
200.0,0.7
201.0,0.5
227.0,0.2
228.0,8.29
229.0,1.29
230.0,0.3
