x,y
26.0,0.88
27.0,22.22
28.0,4.16
29.0,26.47
30.0,0.67
38.0,0.19
39.0,13.2
40.0,2.72
41.0,71.71
42.0,11.44
43.0,53.99
44.0,1.74
46.0,0.06
47.0,0.06
50.0,0.27
51.0,0.53
52.0,0.36
53.0,5.92
54.0,4.26
55.0,99.99
56.0,9.11
57.0,63.58
58.0,2.27
59.0,0.43
60.0,0.08
63.0,0.21
65.0,0.68
66.0,0.34
67.0,6.45
68.0,3.57
69.0,61.78
70.0,5.54
71.0,44.66
72.0,2.54
73.0,0.09
75.0,0.04
77.0,0.47
79.0,0.65
80.0,0.17
81.0,2.82
82.0,1.79
83.0,35.43
84.0,3.17
85.0,35.4
86.0,2.11
87.0,0.04
88.0,0.1
91.0,0.18
92.0,0.06
93.0,0.85
95.0,1.16
96.0,0.45
97.0,34.93
98.0,2.51
99.0,3.62
100.0,0.3
105.0,0.11
106.0,0.21
107.0,5.01
108.0,0.51
109.0,4.13
110.0,0.18
111.0,10.25
112.0,0.93
113.0,0.37
114.0,0.05
119.0,0.32
120.0,0.16
121.0,2.33
122.0,0.12
123.0,2.09
124.0,0.08
125.0,0.16
127.0,0.04
129.0,0.04
133.0,0.17
134.0,0.47
135.0,29.82
136.0,1.8
137.0,27.14
138.0,0.85
140.0,0.06
147.0,0.19
148.0,1.85
149.0,6.15
150.0,2.01
151.0,6.99
152.0,0.29
153.0,2.84
154.0,0.17
161.0,0.16
162.0,0.99
163.0,6.34
164.0,1.12
165.0,5.89
166.0,0.43
175.0,0.13
176.0,0.11
177.0,7.97
178.0,0.54
179.0,7.78
180.0,0.68
189.0,0.06
190.0,0.06
191.0,4.21
192.0,0.3
193.0,4.01
194.0,0.46
204.0,0.07
206.0,0.05
232.0,0.09
233.0,15.19
234.0,1.83
235.0,13.83
236.0,1.95
312.0,0.98
313.0,0.14
314.0,1.94
315.0,0.24
316.0,1.29
317.0,0.13
