x,y
13.0,0.4
14.0,2.9
15.0,16.92
25.0,0.3
26.0,2.5
27.0,6.71
28.0,0.9
32.0,0.5
33.0,0.3
34.0,0.1
37.0,2.1
38.0,4.2
39.0,9.91
40.0,3.3
41.0,4.2
42.0,14.51
43.0,99.99
44.0,4.0
45.0,37.83
46.0,1.5
47.0,2.1
48.0,0.1
49.0,0.4
50.0,1.5
51.0,2.1
52.0,1.5
53.0,1.0
54.0,0.3
56.0,1.7
57.0,1.9
58.0,3.2
59.0,3.5
60.0,0.5
61.0,0.7
62.0,0.6
63.0,0.8
64.0,0.5
65.0,0.4
66.0,1.3
67.0,1.5
69.0,16.11
70.0,10.51
71.0,43.94
72.0,17.42
73.0,2.5
75.0,0.1
76.0,0.1
80.0,0.1
81.0,0.5
82.0,0.6
83.0,0.5
84.0,0.7
85.0,1.4
86.0,0.8
87.0,0.2
92.0,0.1
93.0,0.1
94.0,0.2
95.0,0.1
96.0,0.5
97.0,0.2
98.0,0.1
99.0,0.4
110.0,0.1
112.0,41.34
113.0,3.2
114.0,7.61
115.0,0.5
116.0,0.2
126.0,0.5
137.0,0.1
140.0,69.96
141.0,5.5
142.0,3.3
143.0,0.2
155.0,51.95
156.0,4.9
157.0,2.6
158.0,0.2
