x,y
12.0,2.3
13.0,5.7
14.0,12.98
15.0,35.43
16.0,2.33
24.0,0.83
25.0,2.74
26.0,7.11
27.0,3.23
28.0,0.83
29.0,39.02
30.0,9.4
31.0,2.74
35.0,5.4
36.0,5.22
37.0,27.92
38.0,18.0
39.0,4.69
41.0,1.01
42.0,0.74
43.0,1.09
47.0,3.96
48.0,3.54
49.0,12.71
50.0,30.1
51.0,11.41
52.0,2.6
53.0,11.79
55.0,0.95
56.0,0.76
60.0,9.43
61.0,35.15
62.0,54.68
63.0,99.99
64.0,6.31
65.0,1.15
71.0,3.82
72.0,13.2
73.0,25.29
74.0,46.32
75.0,54.81
76.0,10.14
77.0,9.3
78.0,5.85
79.0,9.43
80.0,2.62
81.0,9.25
82.0,1.88
83.0,1.88
84.0,4.98
85.0,3.7
86.0,1.96
87.0,1.15
90.0,0.76
91.0,1.78
92.0,0.86
93.0,1.42
95.0,0.95
97.0,10.65
98.0,15.11
99.0,4.5
100.0,5.05
104.0,0.97
106.0,0.98
108.0,1.47
109.0,4.76
110.0,9.85
111.0,19.22
112.0,6.3
113.0,7.61
114.0,1.09
115.0,1.05
116.0,2.27
117.0,3.93
118.0,2.46
119.0,4.22
126.0,21.43
127.0,5.63
128.0,8.33
129.0,5.09
130.0,1.14
131.0,1.7
140.0,0.9
141.0,4.36
142.0,2.58
143.0,2.76
144.0,1.29
151.0,2.61
152.0,0.9
153.0,4.48
154.0,0.83
155.0,2.92
157.0,1.01
170.0,1.81
172.0,2.47
177.0,51.82
179.0,66.23
180.0,6.47
181.0,17.1
182.0,1.09
189.0,2.22
191.0,2.22
205.0,58.93
207.0,73.72
208.0,6.01
209.0,18.98
210.0,1.49
220.0,72.71
221.0,5.61
222.0,94.92
223.0,7.37
224.0,23.83
225.0,1.85
