x,y
15.0,0.2
26.0,0.3
27.0,3.19
28.0,0.8
29.0,4.79
30.0,0.1
31.0,0.4
32.0,0.1
37.0,0.1
38.0,0.3
39.0,4.29
40.0,0.3
41.0,5.39
42.0,0.3
43.0,0.99
44.0,0.1
45.0,0.1
50.0,0.9
51.0,2.79
52.0,0.8
53.0,0.4
55.0,0.9
56.0,0.8
57.0,2.49
58.0,0.1
62.0,0.3
63.0,1.49
64.0,0.5
65.0,8.19
66.0,0.5
71.0,0.1
72.0,0.1
73.0,0.1
74.0,0.2
75.0,0.2
76.0,0.2
77.0,4.19
78.0,1.69
79.0,7.59
80.0,0.7
89.0,1.89
90.0,1.49
91.0,99.99
92.0,67.19
93.0,5.19
94.0,0.2
104.0,0.5
105.0,2.49
106.0,0.5
107.0,7.89
108.0,7.49
109.0,0.6
117.0,0.2
118.0,0.3
119.0,0.2
121.0,0.1
122.0,0.2
123.0,0.7
131.0,0.2
146.0,0.1
163.0,0.5
164.0,1.39
165.0,0.1
