x,y
14.0,0.2
15.0,1.29
17.0,0.1
18.0,0.3
25.0,0.1
26.0,1.39
27.0,4.09
28.0,0.4
29.0,0.6
31.0,0.2
36.0,0.2
37.0,1.69
38.0,5.29
39.0,37.59
40.0,3.99
41.0,99.99
42.0,3.39
43.0,1.19
44.0,0.2
49.0,0.3
50.0,3.99
51.0,12.19
52.0,1.89
53.0,0.99
54.0,0.99
55.0,3.39
56.0,0.5
57.0,0.2
61.0,0.6
62.0,1.69
63.0,5.19
64.0,2.29
65.0,18.99
66.0,10.89
67.0,0.9
68.0,3.09
69.0,0.2
73.0,0.2
74.0,1.09
75.0,0.8
76.0,0.8
77.0,14.99
78.0,12.19
79.0,7.09
80.0,0.99
81.0,0.2
82.0,0.1
89.0,0.6
90.0,0.6
91.0,20.89
92.0,5.09
93.0,2.39
94.0,33.19
95.0,2.29
96.0,0.1
102.0,0.3
103.0,1.79
104.0,0.8
105.0,10.79
106.0,3.69
107.0,3.39
108.0,0.4
115.0,2.49
116.0,2.49
117.0,3.09
118.0,0.6
119.0,16.19
120.0,1.59
121.0,0.1
130.0,0.1
131.0,1.69
132.0,0.7
133.0,17.19
134.0,64.29
135.0,6.59
136.0,0.9
