x,y
41.0,2.8
42.0,0.73
43.0,8.83
44.0,0.59
45.0,0.42
46.0,0.49
47.0,0.33
49.0,1.53
50.0,5.9
51.0,2.01
52.0,3.44
53.0,4.23
54.0,0.48
55.0,0.3
60.0,0.37
61.0,0.28
62.0,2.76
63.0,3.76
64.0,14.44
65.0,18.13
66.0,91.56
67.0,2.87
68.0,0.16
69.0,0.2
72.0,0.52
73.0,1.99
74.0,0.39
75.0,1.81
76.0,1.06
77.0,0.48
78.0,0.33
79.0,0.58
80.0,0.34
81.0,0.11
84.0,1.07
85.0,6.04
86.0,0.27
87.0,1.89
88.0,0.27
89.0,0.14
90.0,1.05
91.0,4.03
92.0,3.69
93.0,2.37
94.0,0.42
96.0,0.45
97.0,0.09
98.0,0.17
99.0,0.17
100.0,4.29
101.0,1.42
102.0,1.57
103.0,0.51
106.0,0.13
107.0,0.24
108.0,0.07
109.0,0.07
111.0,0.1
112.0,0.09
113.0,0.15
115.0,0.36
120.0,0.1
121.0,0.21
122.0,0.32
123.0,0.11
124.0,0.07
125.0,0.15
127.0,51.85
128.0,8.82
129.0,12.25
130.0,1.18
134.0,0.31
137.0,0.09
141.0,0.26
142.0,0.07
143.0,0.1
145.0,0.27
150.0,0.21
151.0,0.81
155.0,99.99
156.0,20.19
157.0,33.62
158.0,7.22
159.0,0.38
169.0,1.29
170.0,0.09
171.0,0.49
172.0,0.3
184.0,0.13
186.0,56.91
187.0,13.78
188.0,18.59
189.0,4.76
190.0,0.16
