x,y
26.0,1.1
27.0,10.71
28.0,1.8
29.0,8.31
30.0,0.2
37.0,0.1
38.0,0.6
39.0,7.01
40.0,0.9
41.0,5.4
42.0,0.4
43.0,0.2
44.0,0.1
49.0,0.1
50.0,1.2
51.0,3.9
52.0,1.2
53.0,2.6
54.0,0.2
55.0,1.8
56.0,0.1
57.0,0.4
58.0,0.2
59.0,0.1
61.0,0.1
62.0,0.6
63.0,2.4
64.0,1.2
65.0,3.1
66.0,0.5
67.0,0.4
68.0,0.1
69.0,0.1
70.0,0.2
71.0,0.3
72.0,0.1
73.0,0.1
74.0,0.3
75.0,0.7
76.0,0.5
77.0,5.61
78.0,1.9
79.0,2.5
80.0,0.2
81.0,0.1
82.0,0.2
83.0,0.2
84.0,0.2
85.0,0.1
86.0,0.1
87.0,0.2
88.0,0.1
89.0,0.9
90.0,0.4
91.0,9.71
92.0,1.1
93.0,0.9
94.0,0.1
95.0,0.1
96.0,0.1
97.0,0.1
98.0,0.1
99.0,0.1
100.0,0.1
101.0,0.3
102.0,1.0
103.0,2.5
104.0,1.2
105.0,7.51
106.0,1.0
107.0,1.3
108.0,0.1
109.0,0.1
110.0,0.1
111.0,0.1
112.0,0.2
113.0,0.3
114.0,0.5
115.0,6.41
116.0,3.3
117.0,6.81
118.0,3.7
119.0,8.41
120.0,0.9
121.0,0.1
125.0,0.1
126.0,0.2
127.0,0.9
128.0,2.3
129.0,2.1
130.0,1.4
131.0,4.0
132.0,2.0
133.0,99.99
134.0,11.81
135.0,0.8
136.0,0.1
139.0,0.1
140.0,0.1
141.0,0.2
142.0,0.1
143.0,0.1
144.0,0.1
145.0,0.4
146.0,0.2
147.0,2.7
148.0,0.4
149.0,0.1
161.0,0.2
162.0,16.61
163.0,2.4
164.0,0.2
