x,y
12.0,0.7
13.0,0.76
14.0,3.26
15.0,30.69
16.0,0.98
28.0,8.84
29.0,19.57
30.0,4.7
31.0,4.35
32.0,20.38
33.0,2.74
34.0,1.4
35.0,4.56
36.0,2.71
37.0,1.42
38.0,0.82
44.0,5.21
45.0,6.61
46.0,3.96
47.0,15.21
48.0,3.47
49.0,1.58
50.0,0.42
59.0,99.99
60.0,19.84
61.0,4.58
62.0,1.08
63.0,3.08
64.0,0.65
65.0,0.45
66.0,0.42
67.0,25.8
68.0,1.07
69.0,9.72
71.0,0.49
79.0,0.54
81.0,5.09
82.0,7.67
83.0,3.12
84.0,2.74
85.0,0.39
91.0,5.77
92.0,0.58
93.0,0.35
94.0,0.35
95.0,13.14
96.0,0.35
97.0,5.24
98.0,0.31
126.0,37.6
127.0,1.22
128.0,14.13
129.0,0.43
130.0,0.59
