x,y
4.0,0.27
14.0,0.02
15.0,0.65
26.0,1.03
27.0,5.97
28.0,1.36
32.0,1.19
37.0,0.46
38.0,1.46
39.0,6.6
40.0,0.67
41.0,0.25
42.0,0.16
44.0,0.67
45.0,1.31
50.0,6.49
51.0,12.8
52.0,2.96
53.0,1.49
54.0,0.15
57.0,0.36
58.0,2.12
59.0,1.58
60.0,1.12
61.0,0.73
62.0,1.78
63.0,4.4
64.0,1.21
65.0,1.89
66.0,0.31
67.0,0.2
68.0,0.11
69.0,0.31
70.0,0.47
71.0,0.3
72.0,0.22
74.0,2.04
75.0,1.69
76.0,2.49
77.0,21.55
78.0,6.42
79.0,19.35
80.0,1.71
82.0,0.74
84.0,0.69
85.0,0.43
86.0,0.97
87.0,0.44
88.0,0.22
89.0,3.13
90.0,0.6
91.0,0.57
98.0,0.2
101.0,0.33
102.0,1.77
103.0,11.83
104.0,0.2
105.0,99.99
106.0,8.92
107.0,0.37
116.0,1.41
117.0,0.21
120.0,0.34
121.0,2.62
122.0,0.4
123.0,0.19
128.0,0.42
130.0,0.34
131.0,0.24
148.0,2.16
149.0,0.31
163.0,5.5
164.0,0.62
165.0,0.25
