x,y
13.0,0.1
14.0,0.7
15.0,1.89
16.0,0.1
17.0,0.1
18.0,0.3
25.0,0.4
26.0,5.29
27.0,29.19
28.0,7.29
29.0,38.29
30.0,0.9
31.0,7.69
32.0,3.49
33.0,0.1
36.0,0.1
37.0,1.29
38.0,2.19
39.0,19.89
40.0,1.99
41.0,3.69
42.0,1.29
43.0,7.49
44.0,0.6
45.0,0.5
47.0,0.3
49.0,0.6
50.0,2.79
51.0,3.49
52.0,1.49
53.0,13.59
54.0,1.89
55.0,67.89
56.0,3.59
57.0,8.49
58.0,0.4
60.0,0.1
61.0,0.2
62.0,0.2
63.0,0.3
65.0,2.69
66.0,9.29
67.0,0.99
68.0,3.49
69.0,0.6
70.0,0.1
71.0,0.4
74.0,0.1
75.0,0.1
77.0,0.5
78.0,2.29
79.0,0.3
81.0,2.59
82.0,0.7
83.0,99.99
84.0,6.09
85.0,0.4
91.0,0.1
94.0,0.6
95.0,0.1
97.0,0.2
110.0,0.1
111.0,0.1
112.0,32.29
113.0,2.09
114.0,0.2
