x,y
42.0,5.84
43.0,1.14
44.0,99.99
45.0,2.88
46.0,0.07
47.0,0.44
49.0,0.04
50.0,0.71
51.0,1.66
52.0,2.22
53.0,1.85
54.0,0.31
55.0,0.7
56.0,0.54
57.0,0.72
58.0,1.58
59.0,0.22
60.0,0.15
61.0,0.1
62.0,0.29
63.0,1.06
64.0,1.07
65.0,2.24
66.0,1.29
67.0,0.83
68.0,0.32
69.0,0.54
70.0,0.16
71.0,0.16
72.0,0.16
73.0,0.15
74.0,0.2
75.0,0.46
76.0,0.64
77.0,2.51
78.0,1.72
79.0,1.73
80.0,1.43
81.0,0.65
82.0,0.3
83.0,0.24
84.0,0.16
85.0,0.11
86.0,0.15
87.0,0.11
88.0,0.1
89.0,0.82
90.0,0.94
91.0,1.41
92.0,0.92
93.0,0.98
94.0,0.83
95.0,1.37
96.0,0.34
97.0,0.25
98.0,0.05
99.0,0.07
100.0,0.04
102.0,0.17
103.0,0.33
104.0,0.43
105.0,0.96
106.0,0.94
107.0,1.73
108.0,0.66
109.0,0.88
110.0,0.29
111.0,0.16
115.0,0.05
116.0,0.2
117.0,0.19
118.0,0.3
119.0,0.54
120.0,0.76
121.0,1.26
122.0,0.82
123.0,0.98
124.0,0.7
125.0,0.35
126.0,0.05
127.0,0.05
129.0,0.05
130.0,0.05
131.0,0.06
132.0,0.14
133.0,0.4
134.0,0.43
135.0,0.6
136.0,2.08
137.0,1.56
138.0,0.77
139.0,1.86
140.0,0.22
146.0,0.15
147.0,0.17
148.0,2.43
149.0,0.66
150.0,0.37
151.0,2.73
152.0,0.73
153.0,0.6
154.0,0.22
160.0,0.06
161.0,0.19
162.0,0.17
163.0,0.21
164.0,0.33
165.0,0.71
166.0,0.4
167.0,10.34
168.0,1.27
169.0,0.24
176.0,0.12
177.0,0.13
178.0,0.39
179.0,0.64
180.0,0.34
181.0,6.64
182.0,55.12
183.0,5.74
184.0,0.62
190.0,0.11
192.0,0.14
193.0,0.23
194.0,0.94
195.0,0.7
196.0,0.21
197.0,0.1
198.0,0.32
205.0,0.21
206.0,0.19
207.0,0.06
208.0,0.24
209.0,0.12
211.0,0.06
212.0,0.06
220.0,0.05
222.0,0.14
223.0,0.25
224.0,0.23
225.0,2.3
226.0,0.52
227.0,0.06
