x,y
15.0,6.54
17.0,0.74
18.0,3.99
26.0,3.37
27.0,18.21
28.0,12.04
29.0,14.63
30.0,58.88
31.0,3.51
35.0,0.1
36.0,0.14
37.0,0.47
39.0,11.75
40.0,3.65
41.0,21.15
42.0,32.37
43.0,91.43
44.0,12.81
45.0,8.16
46.0,0.35
47.0,0.15
50.0,0.83
51.0,1.63
52.0,1.67
53.0,3.27
54.0,6.9
55.0,0.15
56.0,99.99
57.0,9.03
58.0,7.29
59.0,5.92
60.0,0.21
62.0,0.22
63.0,0.3
64.0,0.27
65.0,1.08
66.0,0.97
67.0,4.06
68.0,0.21
69.0,64.58
70.0,24.66
71.0,12.9
72.0,7.78
73.0,0.45
77.0,1.83
79.0,3.07
80.0,2.23
81.0,2.78
82.0,12.86
83.0,1.08
84.0,3.46
85.0,1.86
86.0,0.79
92.0,0.12
93.0,0.25
94.0,0.57
95.0,0.12
96.0,14.04
97.0,44.19
98.0,3.88
99.0,0.19
114.0,13.41
115.0,1.14
116.0,0.08
