x,y
14.0,0.1
15.0,1.3
25.0,0.2
26.0,2.2
27.0,4.5
29.0,2.0
30.0,0.3
31.0,0.3
36.0,0.1
37.0,1.2
38.0,2.8
39.0,8.3
40.0,0.6
41.0,2.1
42.0,0.6
43.0,0.4
45.0,0.1
47.0,0.2
49.0,0.7
50.0,4.2
51.0,6.3
52.0,7.3
53.0,25.1
54.0,6.1
55.0,4.7
56.0,0.2
60.0,0.3
61.0,2.0
62.0,4.1
63.0,6.5
64.0,2.1
65.0,6.9
66.0,1.7
67.0,0.7
68.0,0.1
69.0,0.6
73.0,0.3
74.0,1.1
75.0,0.5
76.0,0.2
77.0,0.7
78.0,0.1
79.0,1.2
80.0,1.8
81.0,56.19
82.0,4.3
83.0,0.2
91.0,0.1
92.0,0.4
93.0,1.5
94.0,0.9
95.0,2.9
96.0,0.2
107.0,0.1
108.0,0.9
109.0,99.99
110.0,7.2
111.0,0.7
121.0,0.1
123.0,2.2
124.0,84.99
125.0,7.0
126.0,0.6
