x,y
15.0,9.31
16.0,0.09
17.0,0.74
18.0,1.15
26.0,2.22
27.0,13.71
28.0,8.79
30.0,0.98
37.0,2.2
38.0,6.88
39.0,24.71
40.0,4.12
41.0,10.94
42.0,3.45
43.0,0.17
44.0,0.62
46.0,2.31
47.0,2.31
49.0,0.54
50.0,6.21
51.0,13.98
52.0,17.89
53.0,6.36
54.0,3.32
55.0,0.54
56.0,0.35
59.0,16.72
60.0,11.31
61.0,2.75
62.0,7.27
63.0,16.41
64.0,7.27
65.0,20.22
66.0,5.42
67.0,2.44
68.0,0.43
73.0,0.42
74.0,0.22
75.0,3.5
76.0,3.72
77.0,8.67
78.0,6.29
79.0,3.17
80.0,2.31
81.0,0.83
82.0,0.62
86.0,1.23
87.0,1.49
88.0,1.37
89.0,10.04
90.0,9.05
91.0,24.51
92.0,7.11
93.0,5.77
94.0,1.76
99.0,1.62
100.0,1.4
101.0,0.59
102.0,2.02
103.0,2.12
104.0,6.31
105.0,3.1
106.0,4.83
107.0,1.21
114.0,0.34
115.0,1.75
116.0,3.46
117.0,13.87
118.0,26.51
119.0,99.99
120.0,10.2
121.0,0.54
130.0,1.78
131.0,0.77
132.0,3.79
133.0,4.01
134.0,3.38
135.0,0.42
143.0,0.71
145.0,0.57
158.0,0.34
171.0,2.34
173.0,2.07
184.0,2.17
185.0,0.36
186.0,1.88
196.0,1.37
198.0,91.93
199.0,11.69
200.0,85.45
201.0,8.41
213.0,26.15
214.0,2.7
215.0,25.77
216.0,2.65
217.0,0.11
